cell_id,edge_f1,false_edge_any_rate,false_edge_count_median,scenario,strong_edge_undirected_f1
GRID_grid_recharge_x_confounding_RNOISELAG_0p9,0.7272727272727273,0.8333333333333334,2.0,S3,0.7272727272727273
GRID_grid_recharge_x_confounding_RNOISE_0p0,0.7272727272727273,0.8,1.0,S3,0.7272727272727273
GRID_grid_recharge_x_confounding_RNOISE_0p3,0.7272727272727273,0.8,1.0,S3,0.7272727272727273
GRID_grid_recharge_x_confounding_RNOISE_0p6,0.7272727272727273,0.7833333333333333,1.5,S3,0.7272727272727273
GRID_grid_recharge_x_confounding_RNOISE_0p9,0.75,0.8166666666666667,2.0,S3,0.75
R_S4_bridge,0.9333333333333333,0.5,0.5,S4,0.9333333333333333
R_S5_bridge,0.6666666666666666,0.9166666666666666,2.0,S5,0.6666666666666666
R_S7_delayed,0.7272727272727273,0.8,1.0,S7,0.7272727272727273
R_S7_effmismatch,0.75,0.7833333333333333,1.0,S7,0.75
R_S7_latentclimate,0.8,0.9833333333333333,2.0,S7,0.8
R_S7_nonlin,0.7386363636363636,0.7166666666666667,1.0,S7,0.7386363636363636
R_S9_hidden,0.6666666666666665,0.8,2.0,S9,0.6666666666666665
