cell_id,nire_persistent_step_h26_B0,nire_persistent_step_h26_L,nire_persistent_step_h26_N,nire_persistent_step_h26_S,scenario
CURVE_curve_pumping_quality_PSPATIALAGG,1.0,0.7798176071757652,0.8031308341665884,0.9827132259578402,S5
CURVE_curve_pumping_quality_PTEMPAGG,1.0,0.8064975858532278,0.8501229678490656,2.6550502009719836,S5
CURVE_curve_recharge_quality_REXACT,1.0,0.8565226087426112,0.7671822245212662,0.8925187299895225,S5
CURVE_curve_recharge_quality_RLAG,1.0,0.8595516430109602,0.7716748301153151,0.8873945340641998,S5
CURVE_curve_recharge_quality_RNOISE,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S5
CURVE_curve_recharge_quality_RNOISELAG,1.0,0.8446289692989981,0.8046434534707525,0.8781311874093636,S5
CURVE_curve_recharge_quality_RSCALE,1.0,0.8565226087426117,0.7671822245212672,0.8925187299895243,S5
CURVE_curve_snr_10,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S5
CURVE_curve_snr_2,1.0,0.9359861076000889,0.9407517057440502,1.166986107201267,S5
CURVE_curve_snr_20,1.0,0.8311926143699038,0.7467198275027528,0.8185387565846347,S5
CURVE_curve_snr_5,1.0,0.8851601711232542,0.7710073711138783,0.9906617746994146,S5
C_G0,1.0,4.34275464373785e-15,nan,nan,S0
G1R1,1.0,0.5648338842738063,nan,nan,S1
G1R2,1.0,0.5303282436861227,nan,nan,S1
G1R3,1.0,0.5717300402578194,nan,nan,S1
G1R4,1.0,0.5463766077976233,nan,nan,S2
G1R5,1.0,0.5410808535099827,nan,nan,S3
G1R6,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S1
G2R1,1.0,0.8234171422087457,0.22928696079196442,0.8303873984443129,S4
G2R2,1.0,0.8226450927861861,0.3029882142364223,0.8075971885610338,S4
G2R3,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S5
G2R4,1.0,0.9028527820249279,0.8064570804335882,0.9714188745459511,S5
G3R1,1.0,0.5438145175262674,0.5472296754779412,0.5391987322848393,S6a
G3R1b,1.0,0.5367953811470277,0.5282517794464899,0.5452859241245951,S6b
G3R2,1.0,0.18999091737525461,0.1911736925957802,0.19348588186777738,S6a
G3R2b,1.0,0.17912071831254797,0.1795497438149101,0.18136630236393436,S6b
G3R3,1.0,0.5383908301168661,nan,nan,S8
G3R4,1.0,0.8489893107408105,0.7985720240327678,0.8879845500680641,S8
GRID_grid_cadence_x_memory_13_HIGH,1.0,0.8493780051949649,0.8111261161683518,1.2322430189888958,S5
GRID_grid_cadence_x_memory_13_LOW,1.0,0.9210353978733564,0.9257846988698252,0.943249283446514,S5
GRID_grid_cadence_x_memory_13_MED,1.0,0.914099729651747,0.9039218046047723,1.199793082636689,S5
GRID_grid_cadence_x_memory_1_HIGH,1.0,0.7604750115430198,0.7716797587611501,0.7960449927215691,S5
GRID_grid_cadence_x_memory_1_LOW,1.0,0.7608263831306947,0.4599833741704762,0.7110172362989882,S5
GRID_grid_cadence_x_memory_1_MED,1.0,0.844167342916488,0.7413211102798469,0.8852925492969963,S5
GRID_grid_cadence_x_memory_2_HIGH,1.0,0.7650318298770704,0.6432480390228221,1.0511304591475046,S5
GRID_grid_cadence_x_memory_2_LOW,1.0,0.7797088485048485,0.5060973989496104,0.6655560822047508,S5
GRID_grid_cadence_x_memory_2_MED,1.0,0.8235045480408048,0.7063241935057729,0.8961314393445841,S5
GRID_grid_cadence_x_memory_4_HIGH,1.0,0.7699019105493068,0.70041835233294,0.9228068376838309,S5
GRID_grid_cadence_x_memory_4_LOW,1.0,0.8101611555741808,0.73470920400711,0.6401875400067685,S5
GRID_grid_cadence_x_memory_4_MED,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S5
GRID_grid_candsupport_x_coupling_misspecified_HIGH,1.0,0.8958152310173484,0.7742808858923481,0.8547065221346082,S9
GRID_grid_candsupport_x_coupling_misspecified_LOW,1.0,0.8388788092620808,0.78645613912253,0.9599897848492747,S9
GRID_grid_candsupport_x_coupling_misspecified_MED,1.0,0.9047843577209063,0.8737391424593139,0.9842416890987993,S9
GRID_grid_candsupport_x_coupling_nested_HIGH,1.0,0.9143245224027869,0.750481795245964,0.926040409036097,S9
GRID_grid_candsupport_x_coupling_nested_LOW,1.0,0.7740166753977622,0.674132723842421,0.7723151309549999,S9
GRID_grid_candsupport_x_coupling_nested_MED,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S9
GRID_grid_coupling_x_snr_HIGH_10,1.0,0.9143245224027869,0.750481795245964,0.926040409036097,S5
GRID_grid_coupling_x_snr_HIGH_2,1.0,0.9578128735628021,0.9102793309258979,1.0791749132058799,S5
GRID_grid_coupling_x_snr_HIGH_20,1.0,0.9026496607465246,0.7331902250484559,0.8969073019782017,S5
GRID_grid_coupling_x_snr_HIGH_5,1.0,0.9313030803322512,0.7840735349072137,1.0445250662465324,S5
GRID_grid_coupling_x_snr_LOW_10,1.0,0.7740166753977622,0.674132723842421,0.7723151309549999,S5
GRID_grid_coupling_x_snr_LOW_2,1.0,0.8837957862879373,0.8451013287852636,0.9179307963801597,S5
GRID_grid_coupling_x_snr_LOW_20,1.0,0.7563936119098997,0.6710887400067286,0.752321921276071,S5
GRID_grid_coupling_x_snr_LOW_5,1.0,0.8159476539441637,0.7155155510105544,0.8531841504529571,S5
GRID_grid_coupling_x_snr_MED_10,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S5
GRID_grid_coupling_x_snr_MED_2,1.0,0.9359861076000889,0.9407517057440502,1.166986107201267,S5
GRID_grid_coupling_x_snr_MED_20,1.0,0.8311926143699038,0.7467198275027528,0.8185387565846347,S5
GRID_grid_coupling_x_snr_MED_5,1.0,0.8851601711232542,0.7710073711138783,0.9906617746994146,S5
GRID_grid_missing_x_obsnodes_0p0_0p4,1.0,0.9051056686685452,0.9067886254932676,1.0,S5
GRID_grid_missing_x_obsnodes_0p0_0p6,1.0,0.8594213596745445,0.8492485808039414,1.0,S5
GRID_grid_missing_x_obsnodes_0p0_0p8,1.0,0.8482788821375375,0.7545716040707339,0.9539243080393992,S5
GRID_grid_missing_x_obsnodes_0p0_1p0,1.0,0.8419891955429032,0.7305986657825336,0.9204968855112563,S5
GRID_grid_missing_x_obsnodes_0p1_0p4,1.0,0.8940682149537216,0.9167726197439399,1.0,S5
GRID_grid_missing_x_obsnodes_0p1_0p6,1.0,0.8617623488739552,0.8749323491423678,1.0,S5
GRID_grid_missing_x_obsnodes_0p1_0p8,1.0,0.8305299754681947,0.787448082188448,0.9693225459242294,S5
GRID_grid_missing_x_obsnodes_0p1_1p0,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S5
GRID_grid_missing_x_obsnodes_0p3_0p4,1.0,0.9587899751322133,0.9943933487319139,1.0,S5
GRID_grid_missing_x_obsnodes_0p3_0p6,1.0,0.8737060771284677,0.8971080934636746,1.0,S5
GRID_grid_missing_x_obsnodes_0p3_0p8,1.0,0.8474400378309987,0.8565210334703585,1.0459421588640212,S5
GRID_grid_missing_x_obsnodes_0p3_1p0,1.0,0.8431261990582504,0.8305197938153861,0.9831937941029889,S5
GRID_grid_missing_x_obsnodes_0p5_0p4,1.0,1.0,1.0,1.0,S5
GRID_grid_missing_x_obsnodes_0p5_0p6,1.0,0.8885663331561234,nan,1.0,S5
GRID_grid_missing_x_obsnodes_0p5_0p8,1.0,0.8514527365629414,nan,1.2196851963228081,S5
GRID_grid_missing_x_obsnodes_0p5_1p0,1.0,0.84383550335167,nan,1.0713867544112925,S5
GRID_grid_recharge_x_confounding_REXACT_0p0,1.0,0.8633035797927899,0.7771780580746024,0.9061974820179142,S3
GRID_grid_recharge_x_confounding_REXACT_0p3,1.0,0.8565226087426112,0.7671822245212662,0.8925187299895225,S3
GRID_grid_recharge_x_confounding_REXACT_0p6,1.0,0.8501926620199282,0.75113447630952,0.8561220919927258,S3
GRID_grid_recharge_x_confounding_REXACT_0p9,1.0,0.8433150333816248,0.6991949218309328,0.821630786591562,S3
GRID_grid_recharge_x_confounding_RLAG_0p0,1.0,0.8671347148636681,0.8035077824102859,0.9088800363774012,S3
GRID_grid_recharge_x_confounding_RLAG_0p3,1.0,0.8595516430109602,0.7716748301153151,0.8873945340641998,S3
GRID_grid_recharge_x_confounding_RLAG_0p6,1.0,0.8532444798186518,0.7877826268256227,0.8677919381060777,S3
GRID_grid_recharge_x_confounding_RLAG_0p9,1.0,0.8438089515790688,0.7792762059155004,0.8329315590220814,S3
GRID_grid_recharge_x_confounding_RNOISELAG_0p0,1.0,0.8549531625108011,0.8009167219087115,0.8993110305037691,S3
GRID_grid_recharge_x_confounding_RNOISELAG_0p3,1.0,0.8446289692989981,0.8046434534707525,0.8781311874093636,S3
GRID_grid_recharge_x_confounding_RNOISELAG_0p6,1.0,0.8334285899092599,0.8030602649290837,0.8927889471842678,S3
GRID_grid_recharge_x_confounding_RNOISELAG_0p9,1.0,0.8268839184607644,0.7688718631638916,0.8783357147914277,S3
GRID_grid_recharge_x_confounding_RNOISE_0p0,1.0,0.8576787158394541,0.7624843587531576,0.9076072008573178,S3
GRID_grid_recharge_x_confounding_RNOISE_0p3,1.0,0.849709637254372,0.7326996062141401,0.8886819556514698,S3
GRID_grid_recharge_x_confounding_RNOISE_0p6,1.0,0.8393923006131756,0.7183797213043981,0.8689739872456048,S3
GRID_grid_recharge_x_confounding_RNOISE_0p9,1.0,0.8280881348930988,0.6957969589243689,0.8403744090641819,S3
R_S4_bridge,1.0,0.8555984288387131,0.3921731317768599,0.8609789320815591,S4
R_S5_bridge,1.0,0.8790094444728378,0.8006952206977105,1.1257886194690578,S5
R_S7_delayed,1.0,0.84933217339489,0.7474400241873349,0.9025849557989747,S7
R_S7_effmismatch,1.0,0.8421528607912583,0.7673840249332062,0.8498922437951139,S7
R_S7_latentclimate,1.0,0.8290159927664478,0.7645932132509716,0.9779158945446101,S7
R_S7_nonlin,1.0,0.8484541905598866,0.7562223338262272,0.850096544194729,S7
R_S9_hidden,1.0,0.9047843577209063,0.8737391424593139,0.9842416890987993,S9
