SNR,absolute_scale_status,cadence_k,cadence_over_tau_relax,candidate_support_status,cell_id,complexity_unsupported,conditional_intervention_error_L,conditional_intervention_error_N,conditional_prediction_error_L,conditional_prediction_error_N,cumulative_drawdown_error,edge_f1,estimability_rate_L,estimability_rate_N,estimability_rate_S,false_edge_rate,fit_failure_rate_L,fit_failure_rate_N,forcing_confounding,head_missing_fraction,hydraulic_memory_regime,local_response_status,model,network_dynamics_status,network_strength,observed_node_fraction,placebo_false_effect_rate,pumping_quality,pumping_scale_known,recharge_lag,recharge_quality,scenario,spatial_forcing_useful,strong_edge_undirected_f1,supported_complexity_status,vulnerability_rank_metric
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,R_S7_latentclimate,False,0.8290159927664478,0.7645932132509716,0.6090097233090865,0.6183797636468276,0.5548919842017572,0.8,1.0,1.0,1.0,0.9833333333333333,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S7,False,0.8,local_response_not_identified,0.8290159927664478
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000231,misspecified,R_S9_hidden,False,0.9047843577209063,0.8737391424593139,0.5621431170925306,0.5904933968590734,0.6682391921682826,0.6666666666666665,1.0,1.0,1.0,0.8,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S9,False,0.6666666666666665,local_response_not_identified,0.9047843577209063
20.0,absolute_intervention_scale_supported,1,0.049999999999999406,nested_or_na,R_S4_bridge,False,0.8555984288387131,0.3921731317768599,0.21807253104526148,0.20482839649709672,0.5357472889579853,0.9333333333333333,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,HIGH,1.0,nan,P-EXACT,True,0,R-EXACT,S4,False,0.9333333333333333,local_response_not_identified,0.8555984288387131
10.0,absolute_intervention_scale_unsupported,4,0.19999999999999576,nested_or_na,R_S5_bridge,False,0.8790094444728378,0.8006952206977105,0.6165222380111088,0.6761765129426554,0.6169368542087925,0.6666666666666666,1.0,1.0,1.0,0.9166666666666666,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.6666666666666666,local_response_not_identified,0.8790094444728378
10.0,absolute_intervention_scale_unsupported,1,0.05000000000000011,nested_or_na,CURVE_curve_cadence_1,False,0.844167342916488,0.7413211102798469,0.3984658607263861,0.40110934335969683,0.6897470902832807,0.75,1.0,1.0,1.0,0.8,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.75,local_response_not_identified,0.844167342916488
10.0,absolute_intervention_scale_unsupported,2,0.10000000000000021,nested_or_na,CURVE_curve_cadence_2,False,0.8235045480408048,0.7063241935057729,0.4253101587851441,0.4295201515431506,0.6284021149043291,0.8,1.0,1.0,1.0,0.7333333333333333,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.8,local_response_not_identified,0.8235045480408048
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_cadence_4,False,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,0.6423191879513284,0.7272727272727273,1.0,1.0,1.0,0.8,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.7272727272727273,local_response_not_identified,0.849709637254372
10.0,absolute_intervention_scale_unsupported,13,0.6500000000000014,nested_or_na,CURVE_curve_cadence_13,False,0.914099729651747,0.9039218046047723,0.9240937882167188,0.9833117442881001,0.7934182697895519,0.6666666666666666,1.0,0.8333333333333334,1.0,0.5,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_conditionally_supported_but_poorly_estimable,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.6666666666666666,local_response_not_identified,0.914099729651747
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_missing_0p0,False,0.8419891955429032,0.7305986657825336,0.5101100192030867,0.5036022876010136,0.6339588494635098,0.8,1.0,1.0,1.0,0.85,0.0,0.0,0.3,0.0,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.8,local_response_not_identified,0.8419891955429032
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_missing_0p1,False,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,0.6423191879513284,0.7272727272727273,1.0,1.0,1.0,0.8,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.7272727272727273,local_response_not_identified,0.849709637254372
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_missing_0p3,False,0.8431261990582504,0.8305197938153861,0.5417711273827563,0.6159545261792522,0.6209122365599946,0.5714285714285715,1.0,0.38333333333333336,1.0,0.6086956521739131,0.0,0.0,0.3,0.3,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_conditionally_supported_but_poorly_estimable,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.5714285714285715,local_response_not_identified,0.8431261990582504
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_missing_0p5,True,0.84383550335167,nan,0.6175244840275194,nan,0.666752838439328,nan,0.9333333333333333,0.0,0.9333333333333333,nan,0.0,0.0,0.3,0.5,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_not_estimable,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,nan,local_response_not_identified,0.84383550335167
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_block_outage_0,False,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,0.6423191879513284,0.7272727272727273,1.0,1.0,1.0,0.8,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.7272727272727273,local_response_not_identified,0.849709637254372
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_block_outage_1,False,0.8587398759189324,0.8033952792746621,0.5253566592342457,0.5584483012713486,0.63762786294289,0.7272727272727273,1.0,1.0,1.0,0.7833333333333333,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.7272727272727273,local_response_not_identified,0.8587398759189324
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_block_outage_2,False,0.8363805760051004,0.7834133201783662,0.538722017067812,0.604034619947427,0.6389267995807738,0.6666666666666666,1.0,1.0,1.0,0.55,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.6666666666666666,local_response_not_identified,0.8363805760051004
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_pumping_quality_PEXACT,False,0.7063632901983188,0.6302160921727836,0.4526189586570074,0.46312978746939537,0.2756426465108417,0.75,1.0,1.0,1.0,0.75,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-EXACT,True,0,R-NOISE,S5,False,0.75,local_response_not_identified,0.7063632901983188
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_pumping_quality_PMULTNOISE,False,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,0.6423191879513284,0.7272727272727273,1.0,1.0,1.0,0.8,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.7272727272727273,local_response_not_identified,0.849709637254372
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_pumping_quality_PSCALEBIAS,False,0.7373218658140444,0.636501878196445,0.4508790710004436,0.46283073683967824,0.3385142397183661,0.775,1.0,1.0,1.0,0.7333333333333333,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-SCALEBIAS,False,0,R-NOISE,S5,False,0.775,local_response_not_identified,0.7373218658140444
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_pumping_quality_PTEMPAGG,False,0.8064975858532278,0.8501229678490656,0.5620551363021657,0.5904625266909751,0.5037276030676967,0.75,1.0,1.0,1.0,0.85,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_not_earned,MED,1.0,nan,P-TEMPAGG,True,0,R-NOISE,S5,False,0.75,local_response_not_identified,0.8064975858532278
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_pumping_quality_PSPATIALAGG,False,0.7798176071757652,0.8031308341665884,0.5481597594418453,0.5784830092498768,0.428183253532732,0.75,1.0,1.0,1.0,0.85,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_not_earned,MED,1.0,nan,P-SPATIALAGG,False,0,R-NOISE,S5,False,0.75,local_response_not_identified,0.7798176071757652
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_recharge_quality_REXACT,False,0.8565226087426112,0.7671822245212662,0.45850607428127677,0.4573805100777185,0.6644354403021653,0.75,1.0,1.0,1.0,0.8166666666666667,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-EXACT,S5,False,0.75,local_response_not_identified,0.8565226087426112
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_recharge_quality_RNOISE,False,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,0.6423191879513284,0.7272727272727273,1.0,1.0,1.0,0.8,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.7272727272727273,local_response_not_identified,0.849709637254372
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_recharge_quality_RLAG,False,0.8595516430109602,0.7716748301153151,0.5647648305328455,0.5995455093178179,0.6870148456810887,0.75,1.0,1.0,1.0,0.7833333333333333,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,4,R-LAG,S5,False,0.75,local_response_not_identified,0.8595516430109602
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_recharge_quality_RNOISELAG,False,0.8446289692989981,0.8046434534707525,0.5781389077015908,0.6007057638486374,0.6421915623651326,0.7272727272727273,1.0,1.0,1.0,0.7833333333333333,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,4,R-NOISELAG,S5,False,0.7272727272727273,local_response_not_identified,0.8446289692989981
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_recharge_quality_RSCALE,False,0.8565226087426117,0.7671822245212672,0.45850607428127665,0.4573805100777194,0.6644354403021642,0.75,1.0,1.0,1.0,0.8166666666666667,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-SCALE,S5,False,0.75,local_response_not_identified,0.8565226087426117
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_confounding_0p0,False,0.8576787158394541,0.7624843587531576,0.558523115479874,0.5615057905234553,0.6608006112673924,0.7272727272727273,1.0,1.0,1.0,0.8,0.0,0.0,0.0,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S2,False,0.7272727272727273,local_response_not_identified,0.8576787158394541
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_confounding_0p3,False,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,0.6423191879513284,0.7272727272727273,1.0,1.0,1.0,0.8,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S2,False,0.7272727272727273,local_response_not_identified,0.849709637254372
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_confounding_0p6,False,0.8393923006131756,0.7183797213043981,0.4683125942198314,0.47567775575000043,0.6190071449824379,0.7272727272727273,1.0,1.0,1.0,0.7833333333333333,0.0,0.0,0.6,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S2,False,0.7272727272727273,local_response_not_identified,0.8393923006131756
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_confounding_0p9,False,0.8280881348930988,0.6957969589243689,0.4117959603991883,0.43040453368668774,0.5698544544121692,0.75,1.0,1.0,1.0,0.8166666666666667,0.0,0.0,0.9,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S2,False,0.75,local_response_not_identified,0.8280881348930988
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,misspecified,CURVE_curve_observed_nodes_0p4,False,0.8940682149537216,0.9167726197439399,0.5116320940669392,0.5120882742282056,0.7514247071070539,0.0,1.0,1.0,1.0,0.35,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_not_earned,MED,0.4,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.0,local_response_not_identified,0.8940682149537216
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_observed_nodes_0p6,False,0.8617623488739552,0.8749323491423678,0.5257532972647627,0.5215027762129221,0.6773682496740523,0.3333333333333333,1.0,1.0,1.0,0.65,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_not_earned,MED,0.6,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.3333333333333333,local_response_not_identified,0.8617623488739552
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_observed_nodes_0p8,False,0.8305299754681947,0.787448082188448,0.5143548105728433,0.5252213389142788,0.6002163395770763,0.5714285714285715,1.0,1.0,1.0,0.65,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,0.8,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.5714285714285715,local_response_not_identified,0.8305299754681947
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_observed_nodes_1p0,False,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,0.6423191879513284,0.7272727272727273,1.0,1.0,1.0,0.8,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.7272727272727273,local_response_not_identified,0.849709637254372
2.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_snr_2,False,0.9359861076000889,0.9407517057440502,1.6437563827048247,1.7275540621143741,0.8802961007476894,0.6666666666666665,1.0,1.0,1.0,0.95,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_not_earned,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.6666666666666665,local_response_not_identified,0.9359861076000889
5.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_snr_5,False,0.8851601711232542,0.7710073711138783,0.7979642011299799,0.8053850597558253,0.7579705900059982,0.75,1.0,1.0,1.0,0.8833333333333333,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.75,local_response_not_identified,0.8851601711232542
10.0,absolute_intervention_scale_unsupported,4,0.20000000000000043,nested_or_na,CURVE_curve_snr_10,False,0.849709637254372,0.7326996062141401,0.5169733385739854,0.5179865236116052,0.6423191879513284,0.7272727272727273,1.0,1.0,1.0,0.8,0.0,0.0,0.3,0.1,MED,local_response_not_identified,ladder_B0_L_S_N,network_dynamics_supported_in_this_cell_only,MED,1.0,nan,P-MULTNOISE,True,0,R-NOISE,S5,False,0.7272727272727273,local_response_not_identified,0.849709637254372
