cell_id,conditional_nire_h26_median,conditional_rmse_median,estimability_rate,fit_failure_rate,model,n_estimated,n_fit_failed,n_not_estimable,n_replicates,not_estimable_rate,scenario
CURVE_curve_confounding_0p6,0.7183797213043981,0.47567775575000043,1.0,0.0,N,60,0,0,60,0.0,S2
CURVE_curve_confounding_0p9,1.0,0.5631866810609172,1.0,0.0,B0,60,0,0,60,0.0,S2
CURVE_curve_confounding_0p9,0.8280881348930988,0.4117959603991883,1.0,0.0,L,60,0,0,60,0.0,S2
CURVE_curve_confounding_0p9,0.8403744090641819,0.4278489284865794,1.0,0.0,S,60,0,0,60,0.0,S2
CURVE_curve_confounding_0p9,0.6957969589243689,0.43040453368668774,1.0,0.0,N,60,0,0,60,0.0,S2
CURVE_curve_coupling_strength_HIGH,1.0,0.6801377040358793,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_HIGH,0.9143245224027869,0.5509180227653472,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_HIGH,0.926040409036097,0.5578590817383458,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_HIGH,0.750481795245964,0.5517833660832989,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_LOW,1.0,0.7669778279766553,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_LOW,0.7740166753977622,0.60959744687774,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_LOW,0.7723151309549999,0.6254534399143397,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_LOW,0.674132723842421,0.6237724777281308,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_MED,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_MED,0.849709637254372,0.5169733385739854,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_MED,0.8886819556514698,0.524289693789086,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_MED,0.7326996062141401,0.5179865236116052,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_NONE,1.0,0.8034057540525179,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_NONE,0.5804108257126528,0.6579131547619239,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_NONE,0.5678248512510289,0.6741605969498703,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_coupling_strength_NONE,0.5726621160263957,0.695688697136431,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_memory_HIGH,1.0,1.0050669767201947,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_memory_HIGH,0.7699019105493068,0.8362200553505519,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_memory_HIGH,0.9228068376838309,0.8500067761094949,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_memory_HIGH,0.70041835233294,0.8494561514078739,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_memory_LOW,1.0,0.3808702465230497,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_memory_LOW,0.8101611555741808,0.31147847784868865,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_memory_LOW,0.6401875400067685,0.30964435668256735,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_memory_LOW,0.73470920400711,0.31691571570814825,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_memory_MED,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_memory_MED,0.849709637254372,0.5169733385739854,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_memory_MED,0.8886819556514698,0.524289693789086,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_memory_MED,0.7326996062141401,0.5179865236116052,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_missing_0p0,1.0,0.6440168760297211,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_missing_0p0,0.8419891955429032,0.5101100192030867,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_missing_0p0,0.9204968855112563,0.5117693766625079,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_missing_0p0,0.7305986657825336,0.5036022876010136,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_missing_0p1,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_missing_0p1,0.849709637254372,0.5169733385739854,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_missing_0p1,0.8886819556514698,0.524289693789086,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_missing_0p1,0.7326996062141401,0.5179865236116052,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_missing_0p3,1.0,0.6632545184828501,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_missing_0p3,0.8431261990582504,0.5417711273827563,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_missing_0p3,0.9831937941029889,0.5597570970525085,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_missing_0p3,0.8305197938153861,0.6159545261792522,0.38333333333333336,0.0,N,23,0,37,60,0.6166666666666667,S5
CURVE_curve_missing_0p5,1.0,0.7622394056535813,0.9333333333333333,0.0,B0,56,0,4,60,0.06666666666666667,S5
CURVE_curve_missing_0p5,0.84383550335167,0.6175244840275194,0.9333333333333333,0.0,L,56,0,4,60,0.06666666666666667,S5
CURVE_curve_missing_0p5,1.0713867544112925,0.7212832696478242,0.9333333333333333,0.0,S,56,0,4,60,0.06666666666666667,S5
CURVE_curve_missing_0p5,nan,nan,0.0,0.0,N,0,0,60,60,1.0,S5
CURVE_curve_observed_nodes_0p4,1.0,0.643642546337597,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_0p4,0.8940682149537216,0.5116320940669392,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_0p4,1.0,0.5208852150132575,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_0p4,0.9167726197439399,0.5120882742282056,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_0p6,1.0,0.6430164702610512,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_0p6,0.8617623488739552,0.5257532972647627,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_0p6,1.0,0.5340398751949025,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_0p6,0.8749323491423678,0.5215027762129221,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_0p8,1.0,0.6468564340961771,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_0p8,0.8305299754681947,0.5143548105728433,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_0p8,0.9693225459242294,0.517263008441704,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_0p8,0.787448082188448,0.5252213389142788,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_1p0,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_1p0,0.849709637254372,0.5169733385739854,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_1p0,0.8886819556514698,0.524289693789086,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_observed_nodes_1p0,0.7326996062141401,0.5179865236116052,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_process_noise_0p05,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_process_noise_0p05,0.849709637254372,0.5169733385739854,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_process_noise_0p05,0.8886819556514698,0.524289693789086,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_process_noise_0p05,0.7326996062141401,0.5179865236116052,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_process_noise_0p25,1.0,0.781304082525108,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_process_noise_0p25,0.8445365228713559,0.6773185321491508,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_process_noise_0p25,0.9891754815074729,0.6972075986408192,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_process_noise_0p25,0.6906121220273432,0.6983430667181436,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_process_noise_1p0,1.0,1.9153137475961837,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_process_noise_1p0,0.8418261606650226,1.8851364614634922,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_process_noise_1p0,1.9086834803252666,1.920925841646282,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_process_noise_1p0,1.0139269619247326,1.9796712701684003,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PEXACT,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PEXACT,0.7063632901983188,0.4526189586570074,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PEXACT,0.7657149778147918,0.45491096333649494,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PEXACT,0.6302160921727836,0.46312978746939537,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PMULTNOISE,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PMULTNOISE,0.849709637254372,0.5169733385739854,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PMULTNOISE,0.8886819556514698,0.524289693789086,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PMULTNOISE,0.7326996062141401,0.5179865236116052,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PSCALEBIAS,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PSCALEBIAS,0.7373218658140444,0.4508790710004436,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PSCALEBIAS,0.8683762601131539,0.4544412510552992,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PSCALEBIAS,0.636501878196445,0.46283073683967824,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PSPATIALAGG,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PSPATIALAGG,0.7798176071757652,0.5481597594418453,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PSPATIALAGG,0.9827132259578402,0.5510894455157054,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PSPATIALAGG,0.8031308341665884,0.5784830092498768,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PTEMPAGG,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PTEMPAGG,0.8064975858532278,0.5620551363021657,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PTEMPAGG,2.6550502009719836,0.5877207253415457,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_pumping_quality_PTEMPAGG,0.8501229678490656,0.5904625266909751,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_REXACT,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_REXACT,0.8565226087426112,0.45850607428127677,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_REXACT,0.8925187299895225,0.4629270682918003,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_REXACT,0.7671822245212662,0.4573805100777185,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RLAG,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RLAG,0.8595516430109602,0.5647648305328455,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RLAG,0.8873945340641998,0.5739359248783932,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RLAG,0.7716748301153151,0.5995455093178179,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RNOISE,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RNOISE,0.849709637254372,0.5169733385739854,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RNOISE,0.8886819556514698,0.524289693789086,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RNOISE,0.7326996062141401,0.5179865236116052,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RNOISELAG,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RNOISELAG,0.8446289692989981,0.5781389077015908,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RNOISELAG,0.8781311874093636,0.5858168868368878,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RNOISELAG,0.8046434534707525,0.6007057638486374,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RSCALE,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RSCALE,0.8565226087426117,0.45850607428127665,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RSCALE,0.8925187299895243,0.4629270682918001,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_recharge_quality_RSCALE,0.7671822245212672,0.4573805100777194,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_snr_10,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_snr_10,0.849709637254372,0.5169733385739854,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_snr_10,0.8886819556514698,0.524289693789086,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_snr_10,0.7326996062141401,0.5179865236116052,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_snr_2,1.0,1.7153118439817798,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_snr_2,0.9359861076000889,1.6437563827048247,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_snr_2,1.166986107201267,1.6697957043505234,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_snr_2,0.9407517057440502,1.7275540621143741,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_snr_20,1.0,0.5553945725460364,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_snr_20,0.8311926143699038,0.40394811853454493,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_snr_20,0.8185387565846347,0.418272152084065,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_snr_20,0.7467198275027528,0.4177072476076901,1.0,0.0,N,60,0,0,60,0.0,S5
CURVE_curve_snr_5,1.0,0.8903793461235843,1.0,0.0,B0,60,0,0,60,0.0,S5
CURVE_curve_snr_5,0.8851601711232542,0.7979642011299799,1.0,0.0,L,60,0,0,60,0.0,S5
CURVE_curve_snr_5,0.9906617746994146,0.8097065866238096,1.0,0.0,S,60,0,0,60,0.0,S5
CURVE_curve_snr_5,0.7710073711138783,0.8053850597558253,1.0,0.0,N,60,0,0,60,0.0,S5
C_G0,1.0,0.19842643519711778,1.0,0.0,B0,60,0,0,60,0.0,S0
C_G0,4.34275464373785e-15,5.023379022571656e-15,1.0,0.0,L,60,0,0,60,0.0,S0
C_G0,nan,nan,0.0,0.0,S,0,0,60,60,1.0,S0
C_G0,nan,nan,0.0,0.0,N,0,0,60,60,1.0,S0
G1R1,1.0,0.7364144836779727,1.0,0.0,B0,60,0,0,60,0.0,S1
G1R1,0.5648338842738063,0.6144297885350176,1.0,0.0,L,60,0,0,60,0.0,S1
G1R1,nan,nan,0.0,0.0,S,0,0,60,60,1.0,S1
G1R1,nan,nan,0.0,0.0,N,0,0,60,60,1.0,S1
G1R2,1.0,0.5330310993606305,1.0,0.0,B0,60,0,0,60,0.0,S1
G1R2,0.5303282436861227,0.5014829151185485,1.0,0.0,L,60,0,0,60,0.0,S1
G1R2,nan,nan,0.0,0.0,S,0,0,60,60,1.0,S1
G1R2,nan,nan,0.0,0.0,N,0,0,60,60,1.0,S1
G1R3,1.0,0.7365972438044337,1.0,0.0,B0,60,0,0,60,0.0,S1
G1R3,0.5717300402578194,0.6473148546666574,1.0,0.0,L,60,0,0,60,0.0,S1
G1R3,nan,nan,0.0,0.0,S,0,0,60,60,1.0,S1
G1R3,nan,nan,0.0,0.0,N,0,0,60,60,1.0,S1
G1R4,1.0,0.6770584414087044,1.0,0.0,B0,60,0,0,60,0.0,S2
G1R4,0.5463766077976233,0.5525489582402465,1.0,0.0,L,60,0,0,60,0.0,S2
G1R4,nan,nan,0.0,0.0,S,0,0,60,60,1.0,S2
G1R4,nan,nan,0.0,0.0,N,0,0,60,60,1.0,S2
G1R5,1.0,0.7364144836779727,1.0,0.0,B0,60,0,0,60,0.0,S3
G1R5,0.5410808535099827,0.6588561430020148,1.0,0.0,L,60,0,0,60,0.0,S3
G1R5,nan,nan,0.0,0.0,S,0,0,60,60,1.0,S3
G1R5,nan,nan,0.0,0.0,N,0,0,60,60,1.0,S3
G1R6,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S1
G1R6,0.849709637254372,0.5169733385739854,1.0,0.0,L,60,0,0,60,0.0,S1
G1R6,0.8886819556514698,0.524289693789086,1.0,0.0,S,60,0,0,60,0.0,S1
G1R6,0.7326996062141401,0.5179865236116052,1.0,0.0,N,60,0,0,60,0.0,S1
G2R1,1.0,0.3117448137753213,1.0,0.0,B0,60,0,0,60,0.0,S4
G2R1,0.8234171422087457,0.21869106485340506,1.0,0.0,L,60,0,0,60,0.0,S4
G2R1,0.8303873984443129,0.21676454332314743,1.0,0.0,S,60,0,0,60,0.0,S4
G2R1,0.22928696079196442,0.20064145466811772,1.0,0.0,N,60,0,0,60,0.0,S4
G2R2,1.0,0.28098152347318267,1.0,0.0,B0,60,0,0,60,0.0,S4
G2R2,0.8226450927861861,0.19903147223957174,1.0,0.0,L,60,0,0,60,0.0,S4
G2R2,0.8075971885610338,0.1983374835017366,1.0,0.0,S,60,0,0,60,0.0,S4
G2R2,0.3029882142364223,0.1879271520912909,1.0,0.0,N,60,0,0,60,0.0,S4
G2R3,1.0,0.6446839837297764,1.0,0.0,B0,60,0,0,60,0.0,S5
G2R3,0.849709637254372,0.5169733385739854,1.0,0.0,L,60,0,0,60,0.0,S5
G2R3,0.8886819556514698,0.524289693789086,1.0,0.0,S,60,0,0,60,0.0,S5
G2R3,0.7326996062141401,0.5179865236116052,1.0,0.0,N,60,0,0,60,0.0,S5
G2R4,1.0,0.6950474362262136,1.0,0.0,B0,60,0,0,60,0.0,S5
G2R4,0.9028527820249279,0.5616397230085644,1.0,0.0,L,60,0,0,60,0.0,S5
G2R4,0.9714188745459511,0.568892482749955,1.0,0.0,S,60,0,0,60,0.0,S5
G2R4,0.8064570804335882,0.588614549233603,1.0,0.0,N,60,0,0,60,0.0,S5
G3R1,1.0,0.8303764308992209,1.0,0.0,B0,60,0,0,60,0.0,S6a
G3R1,0.5438145175262674,0.6679398615797243,1.0,0.0,L,60,0,0,60,0.0,S6a
G3R1,0.5391987322848393,0.681320096471409,1.0,0.0,S,60,0,0,60,0.0,S6a
G3R1,0.5472296754779412,0.7072452304485735,1.0,0.0,N,60,0,0,60,0.0,S6a
G3R1b,1.0,0.6396479347559036,1.0,0.0,B0,60,0,0,60,0.0,S6b
G3R1b,0.5367953811470277,0.4983546137021394,1.0,0.0,L,60,0,0,60,0.0,S6b
G3R1b,0.5452859241245951,0.5105525384364089,1.0,0.0,S,60,0,0,60,0.0,S6b
G3R1b,0.5282517794464899,0.5150184491007699,1.0,0.0,N,60,0,0,60,0.0,S6b
G3R2,1.0,0.36956526551837643,1.0,0.0,B0,60,0,0,60,0.0,S6a
G3R2,0.18999091737525461,0.285409197932986,1.0,0.0,L,60,0,0,60,0.0,S6a
G3R2,0.19348588186777738,0.28613283118734845,1.0,0.0,S,60,0,0,60,0.0,S6a
G3R2,0.1911736925957802,0.28601661243211063,1.0,0.0,N,60,0,0,60,0.0,S6a
G3R2b,1.0,0.3097345044599308,1.0,0.0,B0,60,0,0,60,0.0,S6b
G3R2b,0.17912071831254797,0.1984217955597269,1.0,0.0,L,60,0,0,60,0.0,S6b
G3R2b,0.18136630236393436,0.19945180708797622,1.0,0.0,S,60,0,0,60,0.0,S6b
G3R2b,0.1795497438149101,0.19842386698901932,1.0,0.0,N,60,0,0,60,0.0,S6b
G3R3,1.0,0.7124552951343815,1.0,0.0,B0,60,0,0,60,0.0,S8
G3R3,0.5383908301168661,0.5704952936743306,1.0,0.0,L,60,0,0,60,0.0,S8
G3R3,nan,nan,0.0,0.0,S,0,0,60,60,1.0,S8
G3R3,nan,nan,0.0,0.0,N,0,0,60,60,1.0,S8
G3R4,1.0,0.6382811996673343,1.0,0.0,B0,60,0,0,60,0.0,S8
G3R4,0.8489893107408105,0.5008299445749413,1.0,0.0,L,60,0,0,60,0.0,S8
G3R4,0.8879845500680641,0.5069397376363942,1.0,0.0,S,60,0,0,60,0.0,S8
G3R4,0.7985720240327678,0.5084707890533073,1.0,0.0,N,60,0,0,60,0.0,S8
GRID_grid_cadence_x_memory_13_HIGH,1.0,1.9832283426976627,1.0,0.0,B0,60,0,0,60,0.0,S5
GRID_grid_cadence_x_memory_13_HIGH,0.8493780051949649,1.6215718892074964,1.0,0.0,L,60,0,0,60,0.0,S5
GRID_grid_cadence_x_memory_13_HIGH,1.2322430189888958,1.6515526703079426,1.0,0.0,S,60,0,0,60,0.0,S5
GRID_grid_cadence_x_memory_13_HIGH,0.8111261161683518,1.7633517731127513,0.8,0.0,N,48,0,12,60,0.2,S5
GRID_grid_cadence_x_memory_13_LOW,1.0,0.5009756838312498,1.0,0.0,B0,60,0,0,60,0.0,S5
GRID_grid_cadence_x_memory_13_LOW,0.9210353978733564,0.48035924718988277,1.0,0.0,L,60,0,0,60,0.0,S5
GRID_grid_cadence_x_memory_13_LOW,0.943249283446514,0.4950618235403949,1.0,0.0,S,60,0,0,60,0.0,S5
GRID_grid_cadence_x_memory_13_LOW,0.9257846988698252,0.5094359921763818,0.8166666666666667,0.0,N,49,0,11,60,0.18333333333333332,S5
