search_id,E0_domain,E0_item,source_pursued,why_pursued,official_url,outcome,ACCESS_STATUS,artifact_obtained,notes,retrieval_date
E03_NWDP_EXTRACTION_SEARCH,E0.3,subannual well or node pumping,NWDP CKAN package_search for extraction/abstraction/pumping,Seek official well/node subannual groundwater withdrawal.,https://nwdp.nwic.gov.in/api/3/action/package_search,NO_AUTHORITATIVE_SOURCE_LOCATED,ACCESS_REQUIRED,false,No NWDP dataset is well-level or node-level groundwater abstraction. Hits were groundwater-level time series. Annual GWRA totals remain ESTIMATED and inadequate for dynamics.,2026-09-08T00:15:03Z
E03_INGRES_ANNUAL_UNIT_EXTRACTION,E0.3,unit-level annual extraction (GWRA),IN-GRES dashboard / GWR2024 layer attributes,"Unit-level annual ESTIMATED extraction would support later M0S, not M1L.",https://ingres.iith.ac.in/,OFFICIAL_SOURCE_FOUND_BUT_ACCESS_REQUIRED,ACCESS_REQUIRED,false,GWR2024 layer 8 documents agwd_tot at block/mandal scale but the feature instance was not queryable. Still annual ESTIMATED; would not clear dynamic forcing even if obtained.,2026-09-08T00:15:03Z
E04_IMD_RF25_1996,E0.4,rainfall,IMD RF25.php year=1996,Specified official daily gridded rainfall product overlapping the head archive.,https://imdpune.gov.in/cmpg/Griddata/RF25.php,PUBLIC_SOURCE_OBTAINED,OBTAINED,true,bytes=25501500 content-type=application/octet-stream,2026-09-08T00:15:03Z
E04_IMD_RF25_2020,E0.4,rainfall,IMD RF25.php year=2020,Specified official daily gridded rainfall product overlapping the head archive.,https://imdpune.gov.in/cmpg/Griddata/RF25.php,PUBLIC_SOURCE_OBTAINED,OBTAINED,true,bytes=25501500 content-type=application/octet-stream,2026-09-08T00:15:03Z
E04_IMD_RF25_2023,E0.4,rainfall,IMD RF25.php year=2023,Specified official daily gridded rainfall product overlapping the head archive.,https://imdpune.gov.in/cmpg/Griddata/RF25.php,PUBLIC_SOURCE_OBTAINED,OBTAINED,true,bytes=25431832 content-type=application/octet-stream,2026-09-08T00:15:03Z
E04_GRACE_NOT_DOWNLOADED,E0.4,GRACE terrestrial water storage,NASA GRACE/GRACE-FO JPL Mascon,Frozen item is identified-not-required; never well-level head.,https://doi.org/10.5067/TEMSC-3JC634,NO_AUTHORITATIVE_SOURCE_LOCATED,NOT_OBTAINED,false,Deliberately not downloaded. Does not satisfy any frozen E0 blocker.,2026-09-08T00:15:03Z
E04_RECHARGE_COMPONENTS,E0.4,recharge components independent of pumping,CGWB GWRA 2024 / IN-GRES / AP GWD,"Need rainfall-recharge, return flow, canal/tank, managed recharge as a panel.",https://cgwb.gov.in/en/ground-water-resource-assessment-0,OFFICIAL_SOURCE_FOUND_BUT_ACCESS_REQUIRED,ACCESS_REQUIRED,false,Only statewide annual ESTIMATED recharge remains in-hand from the prior GWRA PDF. No public subannual component panel located. Rainfall is independent and is not a substitute for the recharge-component split.,2026-09-08T00:15:03Z
CGWB_AQUIFER_SYSTEM_AP,E0.5,hydrogeological reports for candidate units,Aquifer System of Andhra Pradesh,Official NAQUIM/aquifer-system report that may contain tests/T/S narrative; GIS still required.,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/16874344471830862221file.pdf,PUBLIC_SOURCE_OBTAINED,OBTAINED,true,PDF only. Coupling remains UNRESOLVED.,2026-09-08T00:15:03Z
CGWB_NAQUIM_AP_ANANTHAPURAMU,E0.5,hydrogeological reports for candidate units,"NAQUIM aquifer mapping report: Ananthapuramu District, Andhra Pradesh",Official NAQUIM/aquifer-system report that may contain tests/T/S narrative; GIS still required.,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17401264911864076626file.pdf,PUBLIC_SOURCE_OBTAINED,OBTAINED,true,PDF only. Coupling remains UNRESOLVED.,2026-09-08T00:15:03Z
CGWB_NAQUIM_AP_NANDYAL,E0.5,hydrogeological reports for candidate units,"NAQUIM aquifer mapping report: Nandyal District, Andhra Pradesh",Official NAQUIM/aquifer-system report that may contain tests/T/S narrative; GIS still required.,https://cgwb.gov.in/cgwbpnm/public/uploads/documents/17418676521575851451file.pdf,PUBLIC_SOURCE_OBTAINED,OBTAINED,true,PDF only. Coupling remains UNRESOLVED.,2026-09-08T00:15:03Z
E05_NAQUIM_GIS,E0.5,NAQUIM machine-readable GIS,CGWB NAQUIM / AIMS / India-WRIS aquifer GIS,Frozen E0.5 strong-evidence GIS requirement.,https://cgwb.gov.in/en/aquifer-mapping,SOURCE_EXISTS_BUT_MACHINE_READABLE_DATA_NOT_FOUND,ACCESS_REQUIRED,false,"CGWB states NAQUIM outputs are shared with states and disseminated via cgwb.gov.in, aims-cgwb.org, and India-WRIS. Public machine-readable aquifer polygons/attributes were not confirmed. PDFs do not clear this blocker. NWIC AquiferSystems_GSI MapServer timed out.",2026-09-08T00:15:03Z
E05_TESTS_TS,E0.5,pumping tests,CGWB NAQUIM reports / AP GWD / NWDP,Need documented pumping/interference tests and T/S with method.,https://cgwb.gov.in/en/aquifer-mapping,OFFICIAL_SOURCE_FOUND_BUT_ACCESS_REQUIRED,ACCESS_REQUIRED,false,No machine-readable pumping-test or T/S table was located. Unofficial extraction of numbers from PDF prose is forbidden by the frozen E0 package. COUPLING_STATUS remains UNRESOLVED. NOT_DETECTED is not WEAKLY_SUPPORTED.,2026-09-08T00:15:03Z
E06_OVERLAP_FEASIBILITY,E0.6,head-forcing temporal overlap,AP GWD/CGWB heads vs pumping vs rainfall metadata,Coverage/excitation feasibility from acquired factual metadata only.,https://nwdp.nwic.gov.in/dataset/?organization=andhra-pradesh-gw,PUBLIC_SOURCE_OBTAINED,OBTAINED,heads and rainfall metadata; no pumping series,Telemetry heads exist as a public AP GWD CSV. Subannual well pumping was not obtained. Overlap at identification cadence therefore remains inadequate. No analogue was documented. No correlation was fit.,2026-09-08T00:15:03Z
SKIP_WIND,none,none,"Wind Speed (Telemetry - Hourly), AP GWD",Does not satisfy a frozen E0 item; not downloaded.,https://nwdp.nwic.gov.in/dataset/?organization=andhra-pradesh-gw,NO_AUTHORITATIVE_SOURCE_LOCATED,NOT_OBTAINED,false,"Skipped by protocol: if it satisfies no frozen E0 item, do not download it.",2026-09-08T00:15:03Z
SKIP_TEMPERATURE,none,none,"Temperature (Telemetry - Hourly), AP GWD",Does not satisfy a frozen E0 item; not downloaded.,https://nwdp.nwic.gov.in/dataset/?organization=andhra-pradesh-gw,NO_AUTHORITATIVE_SOURCE_LOCATED,NOT_OBTAINED,false,"Skipped by protocol: if it satisfies no frozen E0 item, do not download it.",2026-09-08T00:15:03Z
SKIP_RIVER,none,none,"River Water Level (Telemetry - Hourly), AP GWD",Does not satisfy a frozen E0 item; not downloaded.,https://nwdp.nwic.gov.in/dataset/?organization=andhra-pradesh-gw,NO_AUTHORITATIVE_SOURCE_LOCATED,NOT_OBTAINED,false,"Skipped by protocol: if it satisfies no frozen E0 item, do not download it.",2026-09-08T00:15:03Z
SKIP_GRACE,none,none,NASA GRACE mascon,Does not satisfy a frozen E0 item; not downloaded.,https://doi.org/10.5067/TEMSC-3JC634,NO_AUTHORITATIVE_SOURCE_LOCATED,NOT_OBTAINED,false,"Skipped by protocol: if it satisfies no frozen E0 item, do not download it.",2026-09-08T00:15:03Z
SKIP_MODIS_ET,none,none,MODIS ET,Does not satisfy a frozen E0 item; not downloaded.,https://lpdaac.usgs.gov/documents/931/MOD16_User_Guide_V61.pdf,NO_AUTHORITATIVE_SOURCE_LOCATED,NOT_OBTAINED,false,"Skipped by protocol: if it satisfies no frozen E0 item, do not download it.",2026-09-08T00:15:03Z
