year,quantity,value,unit,source_report,publication_year,methodology_version,original_vs_revised,revision_of,canonical_preferred,boundary_notes
2016,water_withdrawal,123000.0,m3,Facebook_2020_Sustainability_Data,2021,cubic_meters,revised,Facebook_2016_Sustainability_Data_Disclosure,True,"2020 disclosure Forest City 2016 water 123,000 m3."
2017,water_withdrawal,129000.0,m3,Meta_2023_Environmental_Data_Index,2023,Meta_2023_EDI_cubic_meters,as_published,,True,Site withdrawal. Not WUE. Not used to tune the 2012 controller.
2018,water_withdrawal,99000.0,m3,Meta_2023_Environmental_Data_Index,2023,Meta_2023_EDI_cubic_meters,as_published,,True,Site withdrawal. Not WUE. Not used to tune the 2012 controller.
2019,water_withdrawal,85000.0,m3,Meta_2023_Environmental_Data_Index,2023,Meta_2023_EDI_cubic_meters,as_published,,True,Site withdrawal. Not WUE. Not used to tune the 2012 controller.
2020,water_withdrawal,68000.0,m3,Meta_2023_Environmental_Data_Index,2023,Meta_2023_EDI_cubic_meters,as_published,,True,Site withdrawal. Not WUE. Not used to tune the 2012 controller.
2021,water_withdrawal,64053.0,m3,Meta_2023_Environmental_Data_Index,2023,Meta_2023_EDI_cubic_meters,as_published,,True,Site withdrawal. Not WUE. Not used to tune the 2012 controller.
2022,water_withdrawal,62853.0,m3,Meta_2023_Environmental_Data_Index,2023,Meta_2023_EDI_cubic_meters,as_published,,True,Site withdrawal. Not WUE. Not used to tune the 2012 controller.
2020,water_withdrawal,68000.0,m3,Meta_2025_Environmental_Data_Index,2025,Meta_2025_EDI_megaliters_converted,revised_unit_ML,Meta_2023_Environmental_Data_Index,False,"2025 EDI reports megaliters. 2023-2024 have no earlier m3 restatement in this pass. Construction water excluded globally, not a Forest City-specific note."
2021,water_withdrawal,64000.0,m3,Meta_2025_Environmental_Data_Index,2025,Meta_2025_EDI_megaliters_converted,revised_unit_ML,Meta_2023_Environmental_Data_Index,False,"2025 EDI reports megaliters. 2023-2024 have no earlier m3 restatement in this pass. Construction water excluded globally, not a Forest City-specific note."
2022,water_withdrawal,63000.0,m3,Meta_2025_Environmental_Data_Index,2025,Meta_2025_EDI_megaliters_converted,revised_unit_ML,Meta_2023_Environmental_Data_Index,False,"2025 EDI reports megaliters. 2023-2024 have no earlier m3 restatement in this pass. Construction water excluded globally, not a Forest City-specific note."
2023,water_withdrawal,55000.0,m3,Meta_2025_Environmental_Data_Index,2025,Meta_2025_EDI_megaliters_converted,as_published,,True,"2025 EDI reports megaliters. 2023-2024 have no earlier m3 restatement in this pass. Construction water excluded globally, not a Forest City-specific note."
2024,water_withdrawal,16000.0,m3,Meta_2025_Environmental_Data_Index,2025,Meta_2025_EDI_megaliters_converted,as_published,,True,"2025 EDI reports megaliters. 2023-2024 have no earlier m3 restatement in this pass. Construction water excluded globally, not a Forest City-specific note."
2012,location_based_scope2,46000.0,tCO2e,Facebook_2014_Sustainability_Data_Disclosure,2015,regional_impact,as_published,,True,Location-based / regional Scope 2. Not market-based. 2011 location-based not published as a separate regional row.
2013,location_based_scope2,106000.0,tCO2e,Facebook_2016_Sustainability_Data_Disclosure,2017,location_based,as_published,,True,Location-based / regional Scope 2. Not market-based. 2011 location-based not published as a separate regional row.
2014,location_based_scope2,157000.0,tCO2e,Facebook_2016_Sustainability_Data_Disclosure,2017,location_based,as_published,,True,Location-based / regional Scope 2. Not market-based. 2011 location-based not published as a separate regional row.
2015,location_based_scope2,132000.0,tCO2e,Facebook_2016_Sustainability_Data_Disclosure,2017,location_based,as_published,,True,Location-based / regional Scope 2. Not market-based. 2011 location-based not published as a separate regional row.
2016,location_based_scope2,144000.0,tCO2e,Facebook_2016_Sustainability_Data_Disclosure,2017,location_based,as_published,,True,Location-based / regional Scope 2. Not market-based. 2011 location-based not published as a separate regional row.
2020,location_based_scope2,202000.0,tCO2e,Meta_2025_Environmental_Data_Index,2025,location_based_rounded,as_published,,True,Location-based / regional Scope 2. Not market-based. 2011 location-based not published as a separate regional row.
2021,location_based_scope2,165026.0,tCO2e,Meta_2025_Environmental_Data_Index,2025,location_based,as_published,,True,Location-based / regional Scope 2. Not market-based. 2011 location-based not published as a separate regional row.
2022,location_based_scope2,143754.0,tCO2e,Meta_2025_Environmental_Data_Index,2025,location_based,as_published,,True,Location-based / regional Scope 2. Not market-based. 2011 location-based not published as a separate regional row.
2023,location_based_scope2,144050.0,tCO2e,Meta_2025_Environmental_Data_Index,2025,location_based,as_published,,True,Location-based / regional Scope 2. Not market-based. 2011 location-based not published as a separate regional row.
2024,location_based_scope2,144104.0,tCO2e,Meta_2025_Environmental_Data_Index,2025,location_based,as_published,,True,Location-based / regional Scope 2. Not market-based. 2011 location-based not published as a separate regional row.
