site_code,measurement_datetime,reporting_organization,collecting_organization,dwr_source,usable_head,independence_class,rationale,count_as_distinct_sensor_record,do_not_duplicate_against_ocwd
336555N1176965W001,2024-12-23 11:18:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2024-07-30 12:00:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2024-02-27 13:25:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2024-01-30 13:30:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2023-12-21 13:40:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2023-09-26 10:00:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2023-08-24 14:10:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2023-07-25 13:00:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2023-06-28 09:30:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2023-05-24 10:55:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2023-04-26 11:00:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2023-03-22 09:00:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2023-02-24 09:20:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2023-01-26 10:20:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2022-10-26 09:20:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2022-09-28 09:10:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2022-08-30 10:45:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2022-07-19 12:59:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2022-06-29 12:30:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2022-05-26 13:48:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2022-04-26 13:15:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2022-03-22 10:15:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2022-02-23 09:15:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2022-01-19 14:46:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2021-12-15 10:00:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2021-11-24 11:15:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2021-08-24 11:00:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2021-07-28 08:39:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2021-06-23 10:30:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2021-05-26 11:40:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336555N1176965W001,2021-04-15 13:50:00,Orange County Water District - 8-001,Orange County Water District - 8-001,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2010-10-26 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2010-09-08 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2010-06-28 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2010-04-29 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2010-03-01 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2010-01-04 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2009-11-03 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2009-09-15 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2009-07-06 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2009-05-06 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2009-03-02 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2009-01-05 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2008-11-03 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2008-09-05 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2008-07-07 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2008-05-01 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2008-03-05 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2008-01-07 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2007-10-29 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2007-09-24 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2007-06-27 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2007-05-03 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2007-03-05 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2007-01-09 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2006-11-02 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2006-09-19 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2006-06-27 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2006-05-03 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2006-03-06 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2005-12-27 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2005-11-01 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2005-09-20 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2005-05-06 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2005-03-02 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2005-01-05 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2004-10-26 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2004-09-08 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2004-07-06 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2004-05-03 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2004-03-01 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2004-02-03 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2004-01-05 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2003-12-03 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2003-10-27 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2003-09-29 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2003-09-03 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2003-08-07 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2003-07-01 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2003-06-02 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2003-04-30 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2003-03-31 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2003-03-03 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2003-02-05 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2003-01-03 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2002-12-06 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2002-10-28 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2002-10-01 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2002-09-04 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2002-07-30 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2002-06-26 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2002-06-12 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2002-04-29 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2002-04-11 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2002-03-14 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2002-02-01 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2002-01-03 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2001-12-04 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2001-10-29 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2001-09-30 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2001-09-06 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2001-08-07 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2001-06-26 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2001-05-30 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2001-04-30 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2001-04-05 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2001-03-02 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2001-02-01 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2001-01-02 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2000-11-30 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2000-11-04 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2000-09-23 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2000-09-09 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2000-07-31 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2000-06-26 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2000-06-01 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2000-05-05 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2000-04-06 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
336557N1179512W001,2000-03-01 00:00:00,Department of Water Resources,Orange County Water District,DWR_DISCRETE,True,OCWD_ORIGIN_REPUBLISHED_BY_DWR,collector or reporter explicitly identifies OCWD,True,True
