report_month,field,monthly_value,unit,measurement_class,source_file,pdf_page,pdf_table_or_section,extraction_method,independent_validation_allowed,caveat
2026-01,GWRS Water to Talbert Barrier,1109.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2026_01.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-01,Alamitos Barrier Water,175.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2026_01.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-01,Incidental Recharge (estimated),2800.0,acre-feet,ESTIMATED,data/raw/ocwd/water_resources_report_2026_01.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-01,Evaporation from Recharge Basins,-242.0,acre-feet,ESTIMATED,data/raw/ocwd/water_resources_report_2026_01.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-01,Total Groundwater Recharge,34830.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2026_01.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-01,GROUNDWATER PRODUCTION,20725.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2026_01.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-01,Change in Groundwater Storage,14105.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2026_01.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,False,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-01,Month-End Water Storage in Recharge Facilities,24466.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2026_01.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-01,Water Storage Change in Recharge Facilities,3639.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2026_01.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,False,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-01,Total Artificial Recharge,32030.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2026_01.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-07,Water Purchases from MWD (excludes In Lieu),0.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2026_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-07,SAR & Santiago Creek Flows,8958.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2026_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-07,GWRS Water to Forebay,7321.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2026_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-07,GWRS Water to Mid-Basin Injection Wells,492.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2026_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-07,GWRS Water to Talbert Barrier,1460.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2026_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-07,Alamitos Barrier Water,0.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2026_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-07,Incidental Recharge (estimated),700.0,acre-feet,ESTIMATED,data/raw/ocwd/water_resources_report_2026_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-07,Evaporation from Recharge Basins,-357.0,acre-feet,ESTIMATED,data/raw/ocwd/water_resources_report_2026_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-07,Total Groundwater Recharge,18575.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2026_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-07,GROUNDWATER PRODUCTION,28759.0,acre-feet,REPORTED_MEASURED,data/raw/ocwd/water_resources_report_2026_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-07,Change in Groundwater Storage,-10184.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2026_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,False,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-07,Month-End Water Storage in Recharge Facilities,9881.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2026_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-07,Water Storage Change in Recharge Facilities,-2939.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2026_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,False,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
2026-07,Total Artificial Recharge,17875.0,acre-feet,DERIVED_FROM_MEASUREMENTS,data/raw/ocwd/water_resources_report_2026_07.pdf,1,WATER RESOURCES SUMMARY — INFLOWS & OUTFLOWS / OTHER KEY INFORMATION,native PDF text; first monthly value after published field label,True,"Preliminary report; total/accounting fields can include measured, calculated, and estimated components."
