source_id,agency,title,source_type,official_url,accessed_at,temporal_coverage,spatial_resolution,temporal_resolution,raw_machine_readable,measurement_class,intended_use,validation_use,limitations,sha256
DWR_WCR_METADATA,California Department of Water Resources,Well Completion Reports metadata,dataset_metadata,https://data.cnra.ca.gov/api/3/action/package_show?id=well-completion-reports,2026-09-04T01:46:13.896333+00:00,historical-present,well/report,event/report,true,REPORTED_MEASURED,construction-table provenance,supplementary vertical evidence,"known missing, duplicate, and inaccurate fields; many approximate PLSS coordinates",18a5a251db4966f4422c37dfe8f3fbf78b99efaef5517b4d08b4e2609f13a1d5
DWR_WCR_ORANGE_BOREHOLE,California Department of Water Resources,Well Completion Reports — Orange County borehole,CKAN_DataStore_JSON,https://data.cnra.ca.gov/api/3/action/datastore_search_sql?sql=SELECT%20c.%2A%20FROM%20%22735030c5-3d4f-428f-a5c7-c258cacdc307%22%20c%20JOIN%20%228da7b93b-4e69-495d-9caa-335691a1896b%22%20w%20ON%20c.%22WCRNUMBER%22%3Dw.%22WCRNUMBER%22%20WHERE%20w.%22COUNTYNAME%22%3D%27Orange%27%20ORDER%20BY%20c.%22_id%22,2026-09-04T01:49:41.989186+00:00,historical-present,Orange County report/well,event/report,true,REPORTED_MEASURED,supplementary construction and hydrostratigraphy evidence,screen/construction metadata only,not limited to Basin 8-001; no fuzzy matching; WCR approximate coordinates never replace station coordinates,63b383ee3ed498b7def21b82493775f0517c0c7e1a8a56c15dff4ee039339f69
DWR_WCR_ORANGE_CASING,California Department of Water Resources,Well Completion Reports — Orange County casing,CKAN_DataStore_JSON,https://data.cnra.ca.gov/api/3/action/datastore_search_sql?sql=SELECT%20c.%2A%20FROM%20%2293fddfef-8c92-4ea1-b6c8-980997bb5fb8%22%20c%20JOIN%20%228da7b93b-4e69-495d-9caa-335691a1896b%22%20w%20ON%20c.%22WCRNUMBER%22%3Dw.%22WCRNUMBER%22%20WHERE%20w.%22COUNTYNAME%22%3D%27Orange%27%20ORDER%20BY%20c.%22_id%22,2026-09-04T01:49:42.593222+00:00,historical-present,Orange County report/well,event/report,true,REPORTED_MEASURED,supplementary construction and hydrostratigraphy evidence,screen/construction metadata only,not limited to Basin 8-001; no fuzzy matching; WCR approximate coordinates never replace station coordinates,277c56d822d195260388ef57af16bb920027bc1248ef13bd046341b5e8e40132
DWR_WCR_ORANGE_GEOLOGIC_FREEFORM,California Department of Water Resources,Well Completion Reports — Orange County geologic freeform,CKAN_DataStore_JSON,https://data.cnra.ca.gov/api/3/action/datastore_search_sql?sql=SELECT%20c.%2A%20FROM%20%22def8769a-c9a1-4cf7-9522-2588f20f2f39%22%20c%20JOIN%20%228da7b93b-4e69-495d-9caa-335691a1896b%22%20w%20ON%20c.%22WCRNUMBER%22%3Dw.%22WCRNUMBER%22%20WHERE%20w.%22COUNTYNAME%22%3D%27Orange%27%20ORDER%20BY%20c.%22_id%22,2026-09-04T01:49:40.963244+00:00,historical-present,Orange County report/well,event/report,true,REPORTED_MEASURED,supplementary construction and hydrostratigraphy evidence,screen/construction metadata only,not limited to Basin 8-001; no fuzzy matching; WCR approximate coordinates never replace station coordinates,2b14cba03f8ffb29149c9ec1f4eb51297d43ec510a5922a6629f84e529dace6c
DWR_WCR_ORANGE_GEOLOGIC_QUICKPICK,California Department of Water Resources,Well Completion Reports — Orange County geologic quickpick,CKAN_DataStore_JSON,https://data.cnra.ca.gov/api/3/action/datastore_search_sql?sql=SELECT%20c.%2A%20FROM%20%2235a622d6-58e5-406a-a034-a17012132fc5%22%20c%20JOIN%20%228da7b93b-4e69-495d-9caa-335691a1896b%22%20w%20ON%20c.%22WCRNUMBER%22%3Dw.%22WCRNUMBER%22%20WHERE%20w.%22COUNTYNAME%22%3D%27Orange%27%20ORDER%20BY%20c.%22_id%22,2026-09-04T01:49:43.213168+00:00,historical-present,Orange County report/well,event/report,true,REPORTED_MEASURED,supplementary construction and hydrostratigraphy evidence,screen/construction metadata only,not limited to Basin 8-001; no fuzzy matching; WCR approximate coordinates never replace station coordinates,4efa64768f2b8868b7d1356f7f1cfd035b187539460ab809918117323a440048
DWR_WCR_ORANGE_GEOLOGIC_USCS,California Department of Water Resources,Well Completion Reports — Orange County geologic uscs,CKAN_DataStore_JSON,https://data.cnra.ca.gov/api/3/action/datastore_search_sql?sql=SELECT%20c.%2A%20FROM%20%228762f589-156d-499d-9a06-3a7db1ebe34d%22%20c%20JOIN%20%228da7b93b-4e69-495d-9caa-335691a1896b%22%20w%20ON%20c.%22WCRNUMBER%22%3Dw.%22WCRNUMBER%22%20WHERE%20w.%22COUNTYNAME%22%3D%27Orange%27%20ORDER%20BY%20c.%22_id%22,2026-09-04T01:49:42.052273+00:00,historical-present,Orange County report/well,event/report,true,REPORTED_MEASURED,supplementary construction and hydrostratigraphy evidence,screen/construction metadata only,not limited to Basin 8-001; no fuzzy matching; WCR approximate coordinates never replace station coordinates,37f5f64da6decbf0040efce9d1f6aca11b4c727ea480002bb7209fe8b5223f3f
DWR_WCR_ORANGE_PDF_LINKS,California Department of Water Resources,Well Completion Reports — Orange County pdf links,CKAN_DataStore_JSON,https://data.cnra.ca.gov/api/3/action/datastore_search_sql?sql=SELECT%20c.%2A%20FROM%20%22bff565b3-b3b4-4727-b10b-e09e0012ec3b%22%20c%20JOIN%20%228da7b93b-4e69-495d-9caa-335691a1896b%22%20w%20ON%20c.%22WCRNumber%22%3Dw.%22WCRNUMBER%22%20WHERE%20w.%22COUNTYNAME%22%3D%27Orange%27%20ORDER%20BY%20c.%22_id%22,2026-09-04T01:49:43.118183+00:00,historical-present,Orange County report/well,event/report,true,REPORTED_MEASURED,supplementary construction and hydrostratigraphy evidence,screen/construction metadata only,not limited to Basin 8-001; no fuzzy matching; WCR approximate coordinates never replace station coordinates,eaee52f820581a6974b1be4cd871b6e7a8a706035af52717c6f12c33fc8fa75e
DWR_WCR_ORANGE_WCR,California Department of Water Resources,Well Completion Reports — Orange County wcr,CKAN_DataStore_JSON,https://data.cnra.ca.gov/api/3/action/datastore_search_sql?sql=SELECT%20%2A%20FROM%20%228da7b93b-4e69-495d-9caa-335691a1896b%22%20WHERE%20%22COUNTYNAME%22%3D%27Orange%27%20ORDER%20BY%20%22_id%22,2026-09-04T01:49:45.260162+00:00,historical-present,Orange County report/well,event/report,true,REPORTED_MEASURED,supplementary construction and hydrostratigraphy evidence,screen/construction metadata only,not limited to Basin 8-001; no fuzzy matching; WCR approximate coordinates never replace station coordinates,39a599b25132a01f7a0c92b658728a518aa4fad0345b716daf94265c956340f8
DWR_WCR_ORANGE_WELL_NUMBERS,California Department of Water Resources,Well Completion Reports — Orange County well numbers,CKAN_DataStore_JSON,https://data.cnra.ca.gov/api/3/action/datastore_search_sql?sql=SELECT%20c.%2A%20FROM%20%2285b91c71-d8b4-44b0-8fb3-fe1fe5327ca8%22%20c%20JOIN%20%228da7b93b-4e69-495d-9caa-335691a1896b%22%20w%20ON%20c.%22WCRNUMBER%22%3Dw.%22WCRNUMBER%22%20WHERE%20w.%22COUNTYNAME%22%3D%27Orange%27%20ORDER%20BY%20c.%22_id%22,2026-09-04T01:49:42.374234+00:00,historical-present,Orange County report/well,event/report,true,REPORTED_MEASURED,supplementary construction and hydrostratigraphy evidence,screen/construction metadata only,not limited to Basin 8-001; no fuzzy matching; WCR approximate coordinates never replace station coordinates,bddcd08b5d2b7f106c0bbe61892469551d6ef0fe1b20dd95638aa2a7cd72655f
EPA_CA0110604_PAGE,U.S. Environmental Protection Agency,NPDES permit CA0110604 page,web_page,https://www.epa.gov/npdes-permits/CA0110604,2026-09-04T01:52:16.544792+00:00,varies/current,wastewater facility or permit,annual/permit/reporting,true,REPORTED_MEASURED,secondary wastewater inventory only,not used to decide groundwater feasibility,aggregate/permit data do not provide groundwater pumping or head forcing,146214462a7a42671318be03042fa9c6941bd2be131f836304d75ae4e5dc4870
EPA_CA0110604_PERMIT,U.S. Environmental Protection Agency / California Water Boards,Joint EPA/State NPDES Permit CA0110604,permit_pdf,https://www.epa.gov/system/files/documents/2021-07/r8-2021-0010-ca0110604-oc-sanitation-district-2021-06-23.pdf,2026-09-04T01:52:34.472642+00:00,varies/current,wastewater facility or permit,annual/permit/reporting,false,REPORTED_MEASURED,secondary wastewater inventory only,not used to decide groundwater feasibility,aggregate/permit data do not provide groundwater pumping or head forcing,98ae694a226dad1a6d01043849bac72d04b9aa2d14d75b68b7e2f3816062e31c
EPA_ICIS_DMR_DOWNLOAD,U.S. Environmental Protection Agency,ICIS-NPDES permit limit and DMR datasets,web_page,https://echo.epa.gov/tools/data-downloads/icis-npdes-dmr-and-limit-data-set,2026-09-04T01:52:16.707787+00:00,varies/current,wastewater facility or permit,annual/permit/reporting,true,REPORTED_MEASURED,secondary wastewater inventory only,not used to decide groundwater feasibility,aggregate/permit data do not provide groundwater pumping or head forcing,997b1a48f721cca17f71d8fc1dea86c039c7789d6d112960b05ae32fe5fd4a0a
EPA_ICIS_GUIDE,U.S. Environmental Protection Agency,ICIS-NPDES search user guide,web_page,https://www.epa.gov/enviro/icis-npdes-search-user-guide,2026-09-04T01:52:16.225751+00:00,varies/current,wastewater facility or permit,annual/permit/reporting,true,REPORTED_MEASURED,secondary wastewater inventory only,not used to decide groundwater feasibility,aggregate/permit data do not provide groundwater pumping or head forcing,5ede6cad0539b3c6fc20a69603cafa2ea0d1111671fa31dc0a5b56705d45e1f2
LLNL_TRACER_FINAL,Lawrence Livermore National Laboratory / U.S. Department of Energy,Final report on isotope tracer investigations in the Forebay,technical_report_pdf,https://www.osti.gov/servlets/purl/15013774,2026-09-04T01:50:42.740702+00:00,1995-2001,recharge basin to monitoring/production well,experiment,false,OBSERVED,explicit tracer travel quantities,future independent physical connectivity/travel validation,published experimental summaries; no graph-pixel digitization,c6725fb3e2020aff9a92f16b970312a9fee525e3ea7a7cf27877227fe6223ffe
OCSAN_PRETREATMENT_2025,Orange County Sanitation District,Resource Protection Division Annual Report FY 2024-2025,report_pdf,https://ocsan.gov/wp-content/uploads/2025/10/OC_San_Pretreatment_Annual_Report_FY_2024_2025_Final.pdf,2026-09-04T01:52:17.056826+00:00,varies/current,wastewater facility or permit,annual/permit/reporting,false,REPORTED_MEASURED,secondary wastewater inventory only,not used to decide groundwater feasibility,aggregate/permit data do not provide groundwater pumping or head forcing,e192f27a4309b4d2aa55725487e4bb7cda683dbc0a0635a45270cdb273c1b3df
OCSAN_REPORT_INDEX,Orange County Sanitation District,OC San reports index,web_page,https://ocsan.gov/annual-reports/,2026-09-04T01:52:19.718789+00:00,varies/current,wastewater facility or permit,annual/permit/reporting,true,REPORTED_MEASURED,secondary wastewater inventory only,not used to decide groundwater feasibility,aggregate/permit data do not provide groundwater pumping or head forcing,60a09dc5693a4f55c488daccf57b9ad50c49bd62bf1daf60f6c67095425b8302
OCWD_BASIN_ALTERNATIVE_2022,Orange County Water District,Basin 8-001 Alternative 2022 Update,report_pdf,https://www.ocwd.com/wp-content/uploads/basin-8-1-alternative-draft-2022-update.pdf,2026-09-04T01:48:14.707078+00:00,through 2021,basin/facility/well,monthly Water Resources Summary documented,true,DERIVED_FROM_MEASUREMENTS,monitoring and recharge-accounting provenance,data-schema evidence,"mixes measured, calculated, and estimated quantities",9d6b3654b294f8c0f11cb813b74203611c052e642aa64ed1f15e2746eb75c0c3
OCWD_BASIN_MODEL_APPENDIX_B,Orange County Water District,Basin Model and Talbert Model Update / Appendix B,report_pdf,https://www.ocwd.com/wp-content/uploads/appendix-b.pdf,2026-09-04T01:48:15.258103+00:00,1990-2011 discussion,basin/model layer,monthly inputs documented,true,REFERENCE_MODEL,document WRMS/model-input provenance,not empirical ground truth,documents model and input existence; does not release raw WRMS or model package,62e4c7a246672b19a734287ba7c27db17d3152fed75b3ebf15ffe66711f01977
OCWD_GWMP_2004,Orange County Water District,2004 Groundwater Management Plan,report_pdf,https://www.ocwd.com/wp-content/uploads/2004_03XX_OCWD-GWMP-2004.pdf,2026-09-04T01:48:14.119071+00:00,historical-2004,basin/well,monthly reporting documented,true,REPORTED_MEASURED,document monitoring and WRMS provenance,supports data-existence audit,documentation is not the raw records,403eeb771da8c24466d8929e3872c9d4decde4029313edf94d2ec8a895eba824
OCWD_GWRS_2023,Orange County Water District,2023 GWRS Annual Report,report_pdf,https://www.ocwd.com/wp-content/uploads/2023-GWRS-Annual-Report.pdf,2026-09-04T01:55:34.735943+00:00,2023,injection and monitoring wells,annual report; well metadata,true,REPORTED_MEASURED,MBI well/screen/aquifer metadata,future intervention monitoring design,report is not the underlying time series,310e948f02de0786b6d5814d2b990a4df21751cc19f2390f8f2c6fe58777607d
OCWD_LOCATION_MAPS,Orange County Water District,Groundwater and location maps,web_page,https://www.ocwd.com/what-we-do/groundwater-management/groundwater-location-maps/,2026-09-04T01:48:15.598097+00:00,current and archived maps,basin/aquifer system,annual or map-specific,true,REPORTED_MEASURED,monitoring-network and aquifer-system inventory,spatial context only,maps are not raw monitoring time series,6493a303e5e549ac9037e8f3ffbcf295693f737112af639ee837b7f38a7f205d
OCWD_MBI_2020,Orange County Water District,Mid-Basin Injection Centennial Park Project in Operation,web_page,https://www.ocwd.com/news-events/newsletter/2020/april-2020/mid-basin-injection-centennial-park-project-in-operation/,2026-09-04T01:48:16.133102+00:00,2015-2020 milestones,injection facility,event month,true,REPORTED_MEASURED,intervention event dates,future response validation event,operational dates do not provide forcing volumes or response series,2ca83cd43e9017ec20d968fe3fa40a07908d6a61085f0e577bea07f4f8b02bd0
OCWD_RECHARGE_2009_2010,Orange County Water District,2009-2010 Report on Groundwater Recharge,report_pdf,https://www.ocwd.com/wp-content/uploads/09-10annualrechargereport_all.pdf,2026-09-04T01:48:13.947060+00:00,2009-07 to 2010-06 with historical context,recharge facility,monthly,true,DERIVED_FROM_MEASUREMENTS,historic facility/source/accounting schema,future forcing provenance,percolation and storage are calculated from measured flows/levels; some inputs estimated,b541d9f81f00d5cca3cc8ef70709647b05dcbb8907ae4fddf0f1d515b85dfe3a
OCWD_WATER_RESOURCES_INDEX,Orange County Water District,Groundwater supplies and Water Resources Reports index,web_page,https://www.ocwd.com/what-we-do/groundwater-management/groundwater-supplies/,2026-09-04T01:48:15.801065+00:00,current reports,basin,monthly,true,DERIVED_FROM_MEASUREMENTS,report index and accounting definitions,provenance audit,index is not a raw time series,92b77d82551e57f9ca8bb6e102b57f9d3f8325c6218d6546f3a15aaed3025089
OCWD_WIC_20260311,Orange County Water District,"Water Issues Committee packet, 2026-03-11",report_pdf,https://www.ocwd.com/wp-content/uploads/WIC_20260311.pdf,2026-09-04T01:48:13.960065+00:00,2026,MBI system,meeting packet,true,REPORTED_MEASURED,current MBI system/map inventory,intervention context,meeting packet is not the underlying injection data,b7a4fb6c2eca86f2ae74853f1b2011ac4232e0b8b0af6e2884149dc0e631d93a
OCWD_WRR_2025_07,Orange County Water District,Water Resources Report 2025-07,report_pdf,https://www.ocwd.com/wp-content/uploads/WRR-July-2025.pdf,2026-09-04T01:50:25.280204+00:00,2025-07,basin/recharge system,monthly,false,DERIVED_FROM_MEASUREMENTS,recent accounting schema sample,not independent groundwater-state validation,"preliminary report; mixes measured/reported, calculated, and estimated components",911f53b654f9f9f95c4f79ac8600ecec6dd6be4f260b939eed0a48b42486de43
OCWD_WRR_2026_01,Orange County Water District,Water Resources Report 2026-01,report_pdf,https://www.ocwd.com/wp-content/uploads/WRR_2026_01.pdf,2026-09-04T01:50:09.444166+00:00,2026-01,basin/recharge system,monthly,false,DERIVED_FROM_MEASUREMENTS,recent accounting schema sample,not independent groundwater-state validation,"preliminary report; mixes measured/reported, calculated, and estimated components",2a7344959c074d085c3b7db044d6ab07b26f27245cc051d3fc27b91f4a6d6f36
OCWD_WRR_2026_07,Orange County Water District,Water Resources Report 2026-07,report_pdf,https://www.ocwd.com/wp-content/uploads/WRR_2026_07.pdf,2026-09-04T01:50:09.897155+00:00,2026-07,basin/recharge system,monthly,false,DERIVED_FROM_MEASUREMENTS,recent accounting schema sample,not independent groundwater-state validation,"preliminary report; mixes measured/reported, calculated, and estimated components",d9f8f8166f7f031e11235d29a7ab26ad80877de8e2c706577c2fd8410e8fa734
USGS_11074000_DAILY,U.S. Geological Survey,Santa Ana River below Prado Dam daily discharge,NWIS_RDB,https://waterservices.usgs.gov/nwis/dv/?format=rdb&sites=11074000&startDT=1900-01-01&endDT=2026-09-03&parameterCd=00060&siteStatus=all,2026-09-04T01:50:11.064643+00:00,1940-present,gage,daily,true,OBSERVED,river forcing coverage,external observed forcing,estimated/provisional qualifiers retained,5f7d90dce443b9a8f17a6cf7fa77200cbb1688b7fe5e1e739a0a0814cbc4ee9c
USGS_11074000_IV_RECENT,U.S. Geological Survey,Santa Ana River below Prado Dam recent instantaneous discharge,NWIS_RDB,https://waterservices.usgs.gov/nwis/iv/?format=rdb&sites=11074000&startDT=2026-08-01&endDT=2026-09-03&parameterCd=00060&siteStatus=all,2026-09-04T01:50:09.645620+00:00,2026-08-01 to 2026-09-03,gage,15-minute,true,OBSERVED,timezone/QA schema demonstration,external observed forcing,recent slice only; provisional values expected,9f09bd67f756e95a10918f2c801c62eab01ff1fb94b0a869679a0de183175188
USGS_11074000_SITE,U.S. Geological Survey,Santa Ana River below Prado Dam site metadata,NWIS_RDB,https://waterservices.usgs.gov/nwis/site/?format=rdb&sites=11074000&siteOutput=expanded&siteStatus=all,2026-09-04T01:50:09.259718+00:00,station record,gage,static metadata,true,OBSERVED,river forcing metadata,external observed forcing,site timezone is PST with daylight-saving flag; coordinate datum retained,ea43641e990a032c035fc107b269e99704378c75f9e2c95d8ca69e0011372684
