logical_input,path,package,used_by_step,exists_worktree,worktree_sha256,tracked_at_HEAD,HEAD_blob_sha256,worktree_matches_HEAD,intended_frozen_commit,intended_blob_sha256,worktree_matches_intended,access_mode,frozen_blob_available,material,evidence_class,notes
fc_permit_inventory,Meta_Forest_City_North_Carolina_v1/outputs/permit_audit/FOREST_CITY_PUBLIC_PERMIT_INVENTORY.csv,Forest City v1,evidence crosswalk,True,a024b3b427b81e8efa2e7c65c48b0f1fb5924ae751de8041f40a0f0860c1a31e,True,a024b3b427b81e8efa2e7c65c48b0f1fb5924ae751de8041f40a0f0860c1a31e,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,a024b3b427b81e8efa2e7c65c48b0f1fb5924ae751de8041f40a0f0860c1a31e,True,WORKTREE,True,True,DOCUMENTARY_EVIDENCE,Public acquisition inventory.
prn_architecture,Meta_Prineville_Oregon_v3/src/prineville_architecture.py,Prineville v3,PRN replay import,True,cf8d8e614fde736b9c3beb65cf1f77e1fc8e2ff29c841c7f37773fb3053407d2,True,cf8d8e614fde736b9c3beb65cf1f77e1fc8e2ff29c841c7f37773fb3053407d2,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,cf8d8e614fde736b9c3beb65cf1f77e1fc8e2ff29c841c7f37773fb3053407d2,True,WORKTREE,True,True,FROZEN_CODE,Transitive structural-model dependency.
prn_controller,Meta_Prineville_Oregon_v3/src/prineville_ocp_controller.py,Prineville v3,PRN replay import,True,6573aa3bbb9bc10093b18ec1a8acae3341a8004e6bea9806a2244a5be537fc93,True,6573aa3bbb9bc10093b18ec1a8acae3341a8004e6bea9806a2244a5be537fc93,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,6573aa3bbb9bc10093b18ec1a8acae3341a8004e6bea9806a2244a5be537fc93,True,WORKTREE,True,True,FROZEN_CODE,Frozen controller.
prn_psychrometrics,Meta_Prineville_Oregon_v3/src/prineville_psychrometrics.py,Prineville v3,weather and PRN replay,True,c10e1487a00ce32023bf3b630f915b2fe9ba303917951ff5f5bcbec3a3aafd30,True,c10e1487a00ce32023bf3b630f915b2fe9ba303917951ff5f5bcbec3a3aafd30,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,c10e1487a00ce32023bf3b630f915b2fe9ba303917951ff5f5bcbec3a3aafd30,True,WORKTREE,True,True,FROZEN_CODE,Frozen psychrometrics implementation.
prn_structural_helpers,Meta_Prineville_Oregon_v3/src/prineville_structural.py,Prineville v3,PRN replay import,True,6b38750c37a1e04c8d18a76192a5fe769b947ce8c01fe5338bb0a51892e7c619,True,6b38750c37a1e04c8d18a76192a5fe769b947ce8c01fe5338bb0a51892e7c619,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,6b38750c37a1e04c8d18a76192a5fe769b947ce8c01fe5338bb0a51892e7c619,True,WORKTREE,True,True,FROZEN_CODE,Airflow scaling helper; no parameter fit.
prn_structural_v1,Meta_Prineville_Oregon_v3/src/prineville_structural_v1.py,Prineville v3,PRN controller replay,True,f9649c489196cdc3e617f5b28574334aaaace5a94e7ade5ce461f6da22809a6a,True,f9649c489196cdc3e617f5b28574334aaaace5a94e7ade5ce461f6da22809a6a,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,f9649c489196cdc3e617f5b28574334aaaace5a94e7ade5ce461f6da22809a6a,True,WORKTREE,True,True,FROZEN_CODE,Frozen structural reference.
prn_weather_preprocessor,Meta_Prineville_Oregon_v3/src/prepare_weather.py,Prineville v3,KRDM deterministic preprocessing,True,34c88f4ee470db74d024bdecceb48f19b1b760d061356cf6977d272ecfa6616d,True,34c88f4ee470db74d024bdecceb48f19b1b760d061356cf6977d272ecfa6616d,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,34c88f4ee470db74d024bdecceb48f19b1b760d061356cf6977d272ecfa6616d,True,WORKTREE,True,True,FROZEN_CODE,Invoked in memory with output redirected under v3.
prn_architecture_registry,Meta_Prineville_Oregon_v3/config/prineville_architecture_states.yaml,Prineville v3,claims guard,True,1f87a1846aa8254c758ab11e3bd9b6f639e6c64bc551c36bcf8201bd65e78604,True,1f87a1846aa8254c758ab11e3bd9b6f639e6c64bc551c36bcf8201bd65e78604,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,1f87a1846aa8254c758ab11e3bd9b6f639e6c64bc551c36bcf8201bd65e78604,True,WORKTREE,True,True,DOCUMENTARY_CONTRACT,Frozen architecture registry.
prn_graybox,Meta_Prineville_Oregon_v3/src/prineville_graybox.py,Prineville v3,frozen-package guard,True,8275ca5bfc23042e3af19b72f2adb260304ac95d692d0b3ecbcb526b020f0609,True,8275ca5bfc23042e3af19b72f2adb260304ac95d692d0b3ecbcb526b020f0609,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,8275ca5bfc23042e3af19b72f2adb260304ac95d692d0b3ecbcb526b020f0609,True,WORKTREE,True,True,FROZEN_CODE,Guard only; not fitted or invoked.
prn_q2_weather_reference,Meta_Prineville_Oregon_v3/outputs/prn1_q2_2012_public_validation_v1/weather/Q2_2012_KRDM_hourly.parquet,Prineville v3,frozen-package guard,True,87c0beaf1f8223ebb9f4d02ff13b9efd9d2286aaddfec0a3cce9af4c4279d925,True,87c0beaf1f8223ebb9f4d02ff13b9efd9d2286aaddfec0a3cce9af4c4279d925,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,87c0beaf1f8223ebb9f4d02ff13b9efd9d2286aaddfec0a3cce9af4c4279d925,True,WORKTREE,True,True,OBSERVED,Guard/reference only; main replay is rebuilt from frozen raw KRDM.
prn_annual_source_rows,Meta_Prineville_Oregon_v3/outputs/annual_audit.csv,Prineville v3,2024 campus accounting,True,34de3535aa8a58b893cdccdc9c8f2563edda2cdfd973bdb650ec44b04c7380da,True,34de3535aa8a58b893cdccdc9c8f2563edda2cdfd973bdb650ec44b04c7380da,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,34de3535aa8a58b893cdccdc9c8f2563edda2cdfd973bdb650ec44b04c7380da,True,WORKTREE,True,True,OBSERVED_AND_DERIVED,Committed campus annual audit.
v2_factorial_frozen_blob,Meta_Forest_City_North_Carolina_v2/outputs/cross_site_same_period/WEATHER_CONTROLLER_FACTORIAL.csv,Forest City v2,2x2 reproduction targets,False,,False,,False,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,3d0d99fe2443b0b7d1d61871ffbcb728622622fc77500dc291a29a20db864710,False,GIT_BLOB_ONLY,True,True,MODEL_REPLAY,Read only with git show from intended commit; current replacement cannot enter.
v2_station_frozen_blob,Meta_Forest_City_North_Carolina_v2/outputs/weather_robustness/FULL_JJA_STATION_REPLICATION.csv,Forest City v2,station reproduction targets,False,,False,,False,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,61aafef2df43bc70d8c032760f297af4f2dd60f1848d83ba421126492c596f5f,False,GIT_BLOB_ONLY,True,True,MODEL_REPLAY,Read only with git show from intended commit; current replacement cannot enter.
v2_committed_pipeline,Meta_Forest_City_North_Carolina_v2/scripts/run_pipeline.py,Forest City v2,clean-room deterministic preprocessing/replay,False,,False,,False,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,8dc10e0e48c7baf93abc6d241cde71f66aa0bbaace8af8ddb2d3f7169746f2c3,False,GIT_BLOB_ONLY,True,True,FROZEN_CODE,Executed in the clean worktree with context-only municipal_update explicitly skipped.
v2_guard_suite,Meta_Forest_City_North_Carolina_v2/tests/test_v2_guards.py,Forest City v2,clean-room v2 guard suite,True,040ff6c96bd497c6c5a54c3f7ea0615fa45d5fc1c96ab598e54c16cdaf5463ab,True,040ff6c96bd497c6c5a54c3f7ea0615fa45d5fc1c96ab598e54c16cdaf5463ab,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,de464fe2e7fc14407531d650af8d0a344d918ba17bcac5f1a5793de32abb10a4,False,GIT_BLOB_ONLY,True,True,FROZEN_TEST,Executed only in clean worktree at intended commit.
esif_selected_models,other_sources/nlr_esif_fullstack/facility_overhead/analysis/COMPONENT_SELECTED_MODELS.json,ESIF,ESIF transfer,True,fc15039e713578316877f5df9e1009e2a719128bd2458cde74a822ff1aa877dd,True,fc15039e713578316877f5df9e1009e2a719128bd2458cde74a822ff1aa877dd,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,fc15039e713578316877f5df9e1009e2a719128bd2458cde74a822ff1aa877dd,True,WORKTREE,True,True,TRANSFERRED_MODEL,Frozen F4 cooling and F0 HVAC coefficients plus training-window scaler mean.
esif_freeze,other_sources/nlr_esif_fullstack/heat_rejection_water/manifests/ESIF_HEAT_WATER_RESULT_FREEZE.json,ESIF,frozen-package guard,True,4e01139dd9365f62824ac00ff944468839e7873e47a5cea3df4714854af1b02c,True,4e01139dd9365f62824ac00ff944468839e7873e47a5cea3df4714854af1b02c,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,4e01139dd9365f62824ac00ff944468839e7873e47a5cea3df4714854af1b02c,True,WORKTREE,True,True,FROZEN_GUARD,No ESIF refit.
cpu_freeze,other_sources/nlr_esif_fullstack/analysis/FINAL_KESTREL_CPU_STATUS.json,CPU,frozen-package guard,True,1f57b210a63d375ce8eff7d5043756ffe6efe04e8a408bf9429bfd10096528d9,True,1f57b210a63d375ce8eff7d5043756ffe6efe04e8a408bf9429bfd10096528d9,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,1f57b210a63d375ce8eff7d5043756ffe6efe04e8a408bf9429bfd10096528d9,True,WORKTREE,True,True,FROZEN_GUARD,Guard only; not a Forest City model input.
h100_freeze,other_sources/nlr_esif_fullstack/genai_h100/manifests/H100_COMPUTE_FINAL_FREEZE.json,H100,frozen-package guard,True,a620d649a932f2388aa2f35bac2730eb75fe1dc74529668de4f30ee814600076,True,a620d649a932f2388aa2f35bac2730eb75fe1dc74529668de4f30ee814600076,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,a620d649a932f2388aa2f35bac2730eb75fe1dc74529668de4f30ee814600076,True,WORKTREE,True,True,FROZEN_GUARD,Guard only; not a Forest City model input.
masanet_common,other_sources/masanet/scripts/common.py,Masanet,Masanet transfer import,True,f23e2862e53072bdd4a2d1e8d35ac3b5565ff55e7045d1669b557f82fb6f342a,True,f23e2862e53072bdd4a2d1e8d35ac3b5565ff55e7045d1669b557f82fb6f342a,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,f23e2862e53072bdd4a2d1e8d35ac3b5565ff55e7045d1669b557f82fb6f342a,True,WORKTREE,True,True,FROZEN_CODE,Frozen adapter support.
masanet_facility_adapter,other_sources/masanet/scripts/facility_adapter.py,Masanet,Masanet transfer import,True,22b675feba64b59b59e1ca56f48b413a64663caf600ab1fe2897f19e29fa87af,True,22b675feba64b59b59e1ca56f48b413a64663caf600ab1fe2897f19e29fa87af,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,22b675feba64b59b59e1ca56f48b413a64663caf600ab1fe2897f19e29fa87af,True,WORKTREE,True,True,FROZEN_CODE,Frozen facility-intensity wrapper.
masanet_case_table,other_sources/masanet/scripts/followup_common.py,Masanet,Masanet Case 1 parameter ranges,True,ccb08d9433d53ec46e8932a8163793d952d63535ea430f8078256befd9c799e0,True,ccb08d9433d53ec46e8932a8163793d952d63535ea430f8078256befd9c799e0,True,da7fd6f55e1aef5216ceabe80bfc3e31265f7927,ccb08d9433d53ec46e8932a8163793d952d63535ea430f8078256befd9c799e0,True,WORKTREE,True,True,FROZEN_CODE,Frozen Table 3 parameter mapping.
masanet_upstream_source,other_sources/masanet/external/Data-Center-Water-footprint/simulation_funs_DC.py,Masanet upstream,Masanet transfer,True,74ea9da658482a29e1a298a544234cc43b654cf514d678482842ae30c2446c01,False,,False,2cc53bee89b0a61bdad10c02b4d170d7f673e2dc,74ea9da658482a29e1a298a544234cc43b654cf514d678482842ae30c2446c01,True,WORKTREE,True,True,FROZEN_CODE,Ignored nested clone pinned to upstream commit.
masanet_cop_2,other_sources/masanet/external/Data-Center-Water-footprint/COP_2.pkl,Masanet upstream,Masanet transfer,True,a17f740bf3a4c4f59a6e1aedce46bf0457913fc559da51320dd3518dfa6a790a,False,,False,2cc53bee89b0a61bdad10c02b4d170d7f673e2dc,a17f740bf3a4c4f59a6e1aedce46bf0457913fc559da51320dd3518dfa6a790a,True,WORKTREE,True,True,FROZEN_MODEL,Frozen serialized COP model.
masanet_cop_dx,other_sources/masanet/external/Data-Center-Water-footprint/COP_DX.pkl,Masanet upstream,Masanet transfer,True,b17e58dc27f9227946f175ff0b1d8e93f8919c2af4a974b0fe256c18b0cacf8e,False,,False,2cc53bee89b0a61bdad10c02b4d170d7f673e2dc,b17e58dc27f9227946f175ff0b1d8e93f8919c2af4a974b0fe256c18b0cacf8e,True,WORKTREE,True,True,FROZEN_MODEL,Frozen serialized COP model.
masanet_cop_ac,other_sources/masanet/external/Data-Center-Water-footprint/COP_AC.pkl,Masanet upstream,Masanet transfer,True,e8ac8e5cabb75013a3313cdafaf43e3137853197b8029554ae73599bbf18e9a4,False,,False,2cc53bee89b0a61bdad10c02b4d170d7f673e2dc,e8ac8e5cabb75013a3313cdafaf43e3137853197b8029554ae73599bbf18e9a4,True,WORKTREE,True,True,FROZEN_MODEL,Frozen serialized COP model.
weather_station_history,Meta_Forest_City_North_Carolina_v1/data/raw/weather/isd-history.csv,NOAA ISD station history,clean-room v2 weather preprocessing,True,1994747ab4af1b97e63adb434b4d0d022f2daee76f0c144ea9ab46be2d906604,False,,False,NO_GIT_BLOB_SHA256_PINNED,1994747ab4af1b97e63adb434b4d0d022f2daee76f0c144ea9ab46be2d906604,True,WORKTREE,True,True,OBSERVED_METADATA,Ignored public metadata pinned by SHA256; used only by committed v2 station audit.
weather_kfqd_2012,Meta_Forest_City_North_Carolina_v1/data/raw/weather/72314453890_2012.csv,NOAA Global Hourly,KFQD weather preprocessing,True,e4cbfbbfc133cccc1c595b10859546880d169013aec80939bf3728d1bf62ad7f,False,,False,NO_GIT_BLOB_SHA256_PINNED,e4cbfbbfc133cccc1c595b10859546880d169013aec80939bf3728d1bf62ad7f,True,WORKTREE,True,True,OBSERVED,Ignored raw source pinned by SHA256; missing hours preserved.
weather_keho_2012,Meta_Forest_City_North_Carolina_v1/data/raw/weather/72027763843_2012.csv,NOAA Global Hourly,KEHO weather preprocessing,True,adc544dfbb31869ffe11ef3788b1763756d559f021966ec22363c60a4c944903,False,,False,NO_GIT_BLOB_SHA256_PINNED,adc544dfbb31869ffe11ef3788b1763756d559f021966ec22363c60a4c944903,True,WORKTREE,True,True,OBSERVED,Ignored raw source pinned by SHA256.
weather_kgsp_2012,Meta_Forest_City_North_Carolina_v1/data/raw/weather/72312003870_2012.csv,NOAA Global Hourly,KGSP weather preprocessing,True,d4305277f146bfd81096950fd54f783e43a14767e9e1deec4533e4b7d0907b3a,False,,False,NO_GIT_BLOB_SHA256_PINNED,d4305277f146bfd81096950fd54f783e43a14767e9e1deec4533e4b7d0907b3a,True,WORKTREE,True,True,OBSERVED,Ignored raw source pinned by SHA256.
weather_krdm_2012,Meta_Prineville_Oregon_v3/data/raw/noaa/72692024230_2012.csv,NOAA Global Hourly,KRDM weather preprocessing,True,29853f7afa500a5dc8a946cfdc88df9e9f93a459af41c22a27fa91aefafa6fa2,False,,False,NO_GIT_BLOB_SHA256_PINNED,29853f7afa500a5dc8a946cfdc88df9e9f93a459af41c22a27fa91aefafa6fa2,True,WORKTREE,True,True,OBSERVED,Ignored raw source pinned by SHA256.
