site_code,latitude_numeric,longitude_numeric,easting_m,northing_m,spatial_fold,coordinate_source,input_crs,projected_crs,fold_inputs,k,random_state,n_init
336726N1178014W001,33.672600,-117.801400,425708.787407,3726143.559419,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336728N1177424W001,33.672800,-117.742400,431178.475799,3726124.876803,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336746N1177574W001,33.674600,-117.757400,429789.386440,3726334.544910,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336749N1179628W001,33.674900,-117.962750,410753.229245,3726526.267063,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336753N1177488W001,33.675300,-117.748800,430587.182463,3726406.347366,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336764N1177748W001,33.676400,-117.774800,428177.873677,3726546.081273,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336781N1178263W001,33.678140,-117.826300,423405.363999,3726775.996710,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336792N1177457W001,33.679200,-117.745700,430877.675778,3726836.684900,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336795N1177521W001,33.679500,-117.752100,430284.659646,3726874.248044,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336795N1177780W001,33.679500,-117.778000,427883.822426,3726892.026503,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336798N1177876W001,33.679770,-117.787630,426991.382702,3726928.726925,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336798N1177876W002,33.679770,-117.787630,426991.382702,3726928.726925,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336813N1177975W001,33.681300,-117.797500,426077.779138,3727105.386639,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336824N1177430W001,33.682400,-117.743000,431130.508219,3727189.684544,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336831N1179773W001,33.683090,-117.977290,409413.913470,3727447.016452,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336848N1179242W001,33.684800,-117.924200,414336.750742,3727591.325175,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336853N1177671W001,33.685300,-117.767100,428898.989279,3727527.552769,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336853N1179432W001,33.685300,-117.943200,412576.103311,3727662.683387,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336856N1179333W001,33.685600,-117.933300,413494.052746,3727687.611609,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336868N1179445W001,33.686800,-117.944500,412457.124677,3727830.101751,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336870N1178340W001,33.687000,-117.834000,422699.516854,3727764.100889,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336870N1179436W001,33.687000,-117.943600,412540.748490,3727851.514945,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336875N1179148W001,33.687500,-117.914830,415207.927631,3727882.964018,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336880N1178460W001,33.688000,-117.846000,421588.156690,3727884.023225,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336884N1178051W001,33.688400,-117.805100,425379.434232,3727898.074632,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336886N1178041W001,33.688600,-117.804100,425472.294069,3727919.527946,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336888N1179433W001,33.688800,-117.943300,412570.378218,3728050.841759,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336906N1179435W001,33.690600,-117.943500,412553.663788,3728250.591943,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336917N1177557W001,33.691700,-117.755700,429960.848828,3728229.371518,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336928N1177446W001,33.692800,-117.744600,430990.511611,3728343.862981,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336939N1178685W001,33.693900,-117.868500,419508.175206,3728555.508302,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336941N1179435W001,33.694100,-117.943500,412557.209127,3728638.666005,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336944N1177985W001,33.694400,-117.798500,425996.312952,3728558.585726,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336962N1178987W001,33.696200,-117.898700,416711.397272,3728834.475430,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336962N1179060W001,33.696200,-117.906000,416034.835168,3728840.387293,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336963N1179065W001,33.696300,-117.906500,415988.592610,3728851.881758,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336965N1178644W001,33.696500,-117.864400,419890.583851,3728840.601466,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336966N1179388W001,33.696600,-117.938800,412995.336311,3728911.891893,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336977N1178594W001,33.697700,-117.859400,420355.086296,3728969.786662,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336978N1179845W001,33.697800,-117.984500,408761.132680,3729084.389588,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336979N1179417W002,33.697900,-117.941700,412727.879700,3729058.481003,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336979N1179454W001,33.697900,-117.945400,412384.969877,3729061.614355,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
336983N1177947W001,33.698300,-117.794700,426351.827268,3728988.288177,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337010N1178581W001,33.701000,-117.858100,420478.607986,3729334.680208,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337012N1179779W001,33.701200,-117.977900,409376.383310,3729455.565409,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337036N1179030W001,33.703600,-117.903000,416320.049890,3729658.448772,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337046N1180143W001,33.704610,-118.014290,406007.642004,3729866.199343,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337046N1180143W002,33.704610,-118.014290,406007.642004,3729866.199343,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337057N1180070W001,33.705700,-118.007000,406684.398565,3729980.444488,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337059N1180056W001,33.705900,-118.005600,406814.353440,3730001.355746,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337105N1178932W001,33.710450,-117.893180,417236.657586,3730410.046799,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337105N1178932W002,33.710450,-117.893180,417236.657586,3730410.046799,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337112N1177826W001,33.711200,-117.782600,427484.053868,3730410.033276,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337125N1179546W001,33.712500,-117.954600,411547.296855,3730688.287191,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337141N1179955W001,33.714100,-117.995500,407759.092128,3730901.494646,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337146N1179977W001,33.714600,-117.997700,407555.772744,3730958.902654,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337148N1177696W001,33.714790,-117.769600,428691.633689,3730799.024041,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337148N1177696W002,33.714790,-117.769600,428691.633689,3730799.024041,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337148N1177696W003,33.714790,-117.769600,428691.633689,3730799.024041,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337159N1178307W001,33.715900,-117.830700,423031.170228,3730965.985833,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337161N1179887W001,33.716100,-117.988700,408391.314184,3731117.196769,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337163N1180188W001,33.716300,-118.018800,405602.484603,3731166.496974,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337164N1180435W001,33.716400,-118.043500,403313.906876,3731200.450963,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337167N1179225W001,33.716700,-117.922500,414525.928278,3731126.931015,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337174N1179871W001,33.717400,-117.987100,408540.947573,3731259.920787,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337184N1180274W001,33.718400,-118.027400,404807.931568,3731407.243860,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337188N1180275W001,33.718800,-118.027500,404799.107419,3731451.688044,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337195N1180351W001,33.719500,-118.035100,404095.694051,3731536.340981,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337195N1180449W001,33.719500,-118.044900,403187.663604,3731545.491633,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337197N1179379W001,33.719700,-117.937900,413102.018012,3731472.427545,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337216N1178318W001,33.721590,-117.831770,422937.110805,3731597.677088,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337216N1178318W002,33.721590,-117.831770,422937.110805,3731597.677088,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337216N1178318W003,33.721590,-117.831770,422937.110805,3731597.677088,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337221N1179287W001,33.722100,-117.928700,413956.836950,3731730.827412,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337233N1179421W001,33.723310,-117.942070,412719.301218,3731876.219142,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337233N1179421W002,33.723310,-117.942070,412719.301218,3731876.219142,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337233N1179421W003,33.723310,-117.942070,412719.301218,3731876.219142,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337265N1178911W001,33.726500,-117.891100,417444.764705,3732187.975068,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337279N1179386W001,33.727900,-117.938600,413045.429530,3732382.223304,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337281N1177946W001,33.728100,-117.794600,426386.529984,3732292.350763,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337304N1177858W001,33.730400,-117.785800,427203.743154,3732541.124658,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337304N1177898W001,33.730400,-117.789800,426833.175404,3732543.954128,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337304N1180246W001,33.730400,-118.024600,405080.583476,3732735.223513,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337305N1180330W001,33.730500,-118.033000,404302.482166,3732754.071675,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337308N1177837W001,33.730800,-117.783700,427398.628048,3732583.995807,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337334N1178220W001,33.733400,-117.822000,423852.750133,3732899.887576,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337344N1178235W001,33.734400,-117.823500,423714.676661,3733011.873405,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337370N1178012W001,33.737000,-117.801200,425782.739692,3733283.887839,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337374N1179933W001,33.737440,-117.993260,407991.565339,3733487.422937,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337374N1179933W002,33.737440,-117.993260,407991.565339,3733487.422937,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337374N1179933W003,33.737440,-117.993260,407991.565339,3733487.422937,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337414N1179865W001,33.741400,-117.986500,408621.986279,3733920.497066,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337414N1179865W002,33.741400,-117.986500,408621.986279,3733920.497066,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337425N1178213W001,33.742500,-117.821300,423925.630797,3733908.358137,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337444N1178541W001,33.744400,-117.854100,420889.131945,3734143.702555,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337447N1178536W001,33.744700,-117.853600,420935.720986,3734176.582582,4,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337447N1179082W001,33.744700,-117.908200,415878.264318,3734219.779184,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337485N1179555W001,33.748500,-117.955500,411500.867745,3734680.707120,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
337488N1179944W001,33.748800,-117.994400,407898.104228,3734748.035318,2,DWR_OCWD_WELL_MASTER authoritative DWR periodic coordinates,EPSG:4269 NAD83,EPSG:26911 NAD83 / UTM zone 11N,easting_m|northing_m,5,20260904,50
