source_id,normalized_filename,source_agency,source_title,source_date,date_precision,source_kind,source_url,source_collection_url,sha256,tier,raw_relative_path,is_excerpt,parent_source_url,parent_source_sha256,parent_page_range,pages,domain,notes
CITY_CU2018_105,2018-10-30_City_CU2018-105_PacifiCorp_Transmission_Expansion.pdf,City of Prineville / Pacific Power,CU-2018-105 Pacific Power Transmission Line Expansion Capacity Project application,2018-10-30,day,planning_application,,https://www.cityofprineville.com/DocumentCenter/Index/261,6b553648d2916a2a434439e46abe9092d8e2aa8b34ec0688c478c4d08502ac87,core,data/raw/documentary_evidence/core/2018-10-30_City_CU2018-105_PacifiCorp_Transmission_Expansion.pdf,False,,,,29,electric_infrastructure,Regional/multi-customer transmission topology and phasing; do not attribute entire project to Meta.
OPUC_UM1989_VITESSE_2018,2018-12-14_OPUC_UM1989_Vitesse_Direct_Access_Application.pdf,Oregon Public Utility Commission / Vitesse LLC,UM 1989 - Vitesse Application to Exceed New Large Load Direct Access Program Participation Cap,2018-12-14,day,regulatory_filing,https://edocs.puc.state.or.us/efdocs/HAA/um1989haa134934.pdf,https://apps.puc.state.or.us/edockets/,d8cd0baae7cb6d76059a077877d824d80ed16972ee03b5748207bdb56fcd9d56,core,data/raw/documentary_evidence/core/2018-12-14_OPUC_UM1989_Vitesse_Direct_Access_Application.pdf,False,,,,10,identity;electric_infrastructure;renewable_accounting,"Highest-value regulatory source for PRN/CCO boundary, six PRN buildings, CCO interconnection, 230-kV loop, and Schedule 272 semantics."
CITY_CU2019_111,2019-10-15_City_CU2019-111_CCO1_CCO2_Staff_Report.pdf,City of Prineville,CU-2019-111 Staff Report,2019-10-15,day,planning_staff_report,,https://www.cityofprineville.com/DocumentCenter/Index/261,91677a907b67084f1c1db578a254b61ea3953b1d8591e14eaba0438849faaa5d,core,data/raw/documentary_evidence/core/2019-10-15_City_CU2019-111_CCO1_CCO2_Staff_Report.pdf,False,,,,6,identity;campus_chronology,Primary municipal evidence for CCO1&2 at 300 SW Connect Loop and 2019 construction state.
CITY_CU2021_110_STAFF,2021-09-21_City_CU2021-110_PRN1_Staff_Report.pdf,City of Prineville,CU-2021-110 Staff Report - PRN1 addition,2021-09-21,day,planning_staff_report,,https://www.cityofprineville.com/DocumentCenter/Index/261,8f0cb52f156384b2bf42715b9483745f4a0dc33bc89a8ece094862bb1b768589,core,data/raw/documentary_evidence/core/2021-09-21_City_CU2021-110_PRN1_Staff_Report.pdf,False,,,,6,identity;campus_chronology,States PRN1 was the first data-center building constructed at the site; supports PRN building nomenclature.
CITY_CU2021_110_APP,2021-09-21_City_CU2021-110_PRN1_Network_Core_Addition_Application.pdf,City of Prineville / Vitesse LLC,CU-2021-110 Application - Data Center Modernization / Network Core Addition,2021-09-21,day,planning_application,,https://www.cityofprineville.com/DocumentCenter/Index/261,134fd93ab6263ba5240abb7748ee1a74f652588cac7fe6f50db091f02b7673e6,core,data/raw/documentary_evidence/core/2021-09-21_City_CU2021-110_PRN1_Network_Core_Addition_Application.pdf,False,,,,20,identity;campus_chronology;water_infrastructure,Provides PRN1 modernization project alias C210083-001 and engineering/site-plan context.
CITY_RES1518_2022,2022-04-12_City_Res1518_Vitesse_Water_Resiliency_Agreement.pdf,City of Prineville,Resolution 1518 and Vitesse Development Agreement - Waterline Resiliency,2022-04-12,day,resolution_agreement,,https://www.cityofprineville.com/DocumentCenter/Index/261,92859b1b4189a6b200c4d4d47fce65eb237ceb9d236ee68cd3d3ce1a26058853,core,data/raw/documentary_evidence/core/2022-04-12_City_Res1518_Vitesse_Water_Resiliency_Agreement.pdf,False,,,,12,water_infrastructure,Executed/attached agreement defining waterline resiliency projects and costs.
CITY_RES1518_STAFF_2022,2022-04-12_City_Staff_Report_Res1518_Vitesse_Water_Resiliency_excerpt.pdf,City of Prineville,Staff Report - Development Agreement with Vitesse LLC (excerpt from 2022-04-12 Council packet),2022-04-12,day,staff_report_excerpt,,https://www.cityofprineville.com/DocumentCenter/Index/261,e3aa4afc8a22a6f56fb5021061daa5e96882252532c0c20d165661ec2e048c00,core,data/raw/documentary_evidence/core/2022-04-12_City_Staff_Report_Res1518_Vitesse_Water_Resiliency_excerpt.pdf,True,https://www.cityofprineville.com/DocumentCenter/Index/261,de48ad382f6aac39c290c4cb3ffad576d69284bcc3155c667c2fc1054eabafb5,77,1,water_infrastructure,Lossless one-page excerpt from original Council packet page 77; uniquely states no additional capacity is being authorized.
CITY_RES1570_2023,2023-07-11_City_Res1570_Vitesse_Water_Resiliency_Amendment.pdf,City of Prineville,Resolution 1570 and Amendment to Vitesse Waterline Resiliency Development Agreement,2023-07-11,day,resolution_amendment,,https://www.cityofprineville.com/DocumentCenter/Index/261,0b89ef6e73a4e6437caa6d8a252987d75de2eb8f8e3affb1064a82305bdec56a,core,data/raw/documentary_evidence/core/2023-07-11_City_Res1570_Vitesse_Water_Resiliency_Amendment.pdf,False,,,,9,water_infrastructure,"Signed amendment revising pipe configuration, Meta/Vitesse funding share, and ASR contribution."
CITY_RES1570_STAFF_2023,2023-07-11_City_Staff_Report_Res1570_Vitesse_Water_Resiliency_excerpt.pdf,City of Prineville,Staff Report - Resolution 1570 Vitesse Waterline Resiliency Amendment (excerpt),2023-07-11,day,staff_report_excerpt,https://mccmeetings.blob.core.usgovcloudapi.net/prinevl-pubu/MEET-Packet-1db8ab83b6114a0b96adea03e0aa4376.pdf,https://www.cityofprineville.com/DocumentCenter/Index/261,8a900a734c2cb3c720a5575edf90a30ad67ec7151b11507c28d2fa4d83298dc2,core,data/raw/documentary_evidence/core/2023-07-11_City_Staff_Report_Res1570_Vitesse_Water_Resiliency_excerpt.pdf,True,https://mccmeetings.blob.core.usgovcloudapi.net/prinevl-pubu/MEET-Packet-1db8ab83b6114a0b96adea03e0aa4376.pdf,db3b1691d4fc780eecb44d517ad7351d18081ecb4ab1276cd3f51e4ba4cde0e6,45-46,2,water_infrastructure,Lossless two-page excerpt from original Council packet pages 45-46; explicitly states no additional capacity reservation and gives funding estimates.
OPUC_UE463_VITESSE_2026,2026-05-14_OPUC_UE463_Vitesse_Large_Energy_Facility_Testimony.pdf,Oregon Public Utility Commission / Vitesse LLC,UE 463 - Opening Testimony of Kyra Coyle on behalf of Vitesse,2026-05-14,day,regulatory_testimony,,https://apps.puc.state.or.us/edockets/,f2712e90f8ad31b5ea94741be65d4c365b4792419580fe781981127068ac0cd9,core,data/raw/documentary_evidence/core/2026-05-14_OPUC_UE463_Vitesse_Large_Energy_Facility_Testimony.pdf,False,,,,88,identity;electric_service,"Post-study-window corroboration of first MESA year, Schedule 48 cost-of-service status, ownership, and future-expansion treatment. Do not import class-average load factors as Meta site data."
CITY_UTILITY_INFO_FY26,FY2026_City_Water_Sewer_Utility_Account_Monthly_Consumption_Info.pdf,City of Prineville,Water & Sewer New Occupant Information Sheet FY26,2026,fiscal_year,utility_customer_info,,https://www.cityofprineville.com/DocumentCenter/Index/261,638afed0c94de9899bd0eeadc2008659aa4ca169057b835030c49de5433a6901,supporting,data/raw/documentary_evidence/supporting/FY2026_City_Water_Sewer_Utility_Account_Monthly_Consumption_Info.pdf,False,,,,2,acquisition,Evidence that City utility customers can view monthly consumption; supports targeted meter-data request but is not Meta consumption data.
