issue_type,root_cause_class,root_cause_id,severity,year,month,plant_name,camd_facility_id,camd_unit_id,eia_plant_id,eia_generator_id,eia_boiler_id,mapping_cardinality,match_method,match_type,source_a,value_a,source_b,value_b,difference,ratio,reason_flagged,agent_interpretation,confidence,recommended_action,needs_manual_review
campd_eia923_generation_outlier,unresolved_source_conflict,extreme_R_55544_2017_5,high,2017,5.0,Klamath Generation Peakers,55544,GT1|GT2|GT3|GT4,55544,GT1|GT2|GT3|GT4,,one_to_one,exact,one_to_one|exact,CAMPD plant-month gross generation MWh (Gross Load MW × Operating Time),7232.79,EIA-923 plant-month net generation MWh,816.418,6416.372,8.85917507943235,residual extreme ratio after CAMPD energy fix: R=8.85917507943235 (threshold R> 5.0 or R< 0.05); n_reporting_units=4.0; n_hours=567.0; CAMPD name=Klamath Generation Peakers; EIA-923 name=Klamath Expansion Project,CAMPD is unit-level gross generation; EIA-923 is plant-level net generation. Inequality is expected. This residual ratio remains outside the QC extreme band. Values were not rescaled or forced equal.,high,Inspect EIA-923 fuel-row coverage for this plant-month. Do not multiply posted CAMPD mass by Operating Time.,True
campd_eia923_generation_outlier,unresolved_source_conflict,extreme_R_55544_2018_5,high,2018,5.0,Klamath Generation Peakers,55544,GT1|GT2|GT3|GT4,55544,GT1|GT2|GT3|GT4,,one_to_one,exact,one_to_one|exact,CAMPD plant-month gross generation MWh (Gross Load MW × Operating Time),3617.77,EIA-923 plant-month net generation MWh,665.399,2952.371,5.436993443031925,residual extreme ratio after CAMPD energy fix: R=5.436993443031925 (threshold R> 5.0 or R< 0.05); n_reporting_units=4.0; n_hours=301.0; CAMPD name=Klamath Generation Peakers; EIA-923 name=Klamath Expansion Project,CAMPD is unit-level gross generation; EIA-923 is plant-level net generation. Inequality is expected. This residual ratio remains outside the QC extreme band. Values were not rescaled or forced equal.,high,Inspect EIA-923 fuel-row coverage for this plant-month. Do not multiply posted CAMPD mass by Operating Time.,True
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,1.0,Boardman,,,6106,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,1.0,Coyote Springs,,,7931,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,1.0,Beaver,,,8073,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,1.0,Hermiston,,,54761,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,1.0,Klamath Cogeneration Project,,,55103,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,1.0,Hermiston Power Plant,,,55328,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,1.0,Port Westward,,,56227,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,2.0,Boardman,,,6106,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,2.0,Coyote Springs,,,7931,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,2.0,Beaver,,,8073,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,2.0,Hermiston,,,54761,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,2.0,Klamath Cogeneration Project,,,55103,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,2.0,Hermiston Power Plant,,,55328,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,2.0,Port Westward,,,56227,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,3.0,Boardman,,,6106,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,3.0,Coyote Springs,,,7931,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,3.0,Beaver,,,8073,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,3.0,Hermiston,,,54761,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,3.0,Klamath Cogeneration Project,,,55103,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,3.0,Hermiston Power Plant,,,55328,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,3.0,Port Westward,,,56227,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,4.0,Boardman,,,6106,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,4.0,Coyote Springs,,,7931,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,4.0,Beaver,,,8073,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,4.0,Hermiston,,,54761,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,4.0,Klamath Cogeneration Project,,,55103,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,4.0,Hermiston Power Plant,,,55328,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,4.0,Port Westward,,,56227,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,5.0,Boardman,,,6106,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,5.0,Coyote Springs,,,7931,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,5.0,Beaver,,,8073,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,5.0,Hermiston,,,54761,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
cooling_schedule8_units_not_comparable,coverage_limitation,sched8_2011_2012_flow_rate_units,low,2011,5.0,Klamath Cogeneration Project,,,55103,,,,,,EIA-923 Schedule 8 native rates,2011-2012 Schedule 8 flow rates are not converted; units are not defensibly the same as 2013+ gpm / million-gallon volumes,standardized million-gallon cooling product,water_m3 left missing,,,2011-2012 Schedule 8 flow-rate units are not converted,Documented coverage limitation. Native rates are retained; m3 was not invented.,high,Keep water m3 missing. Do not apply an unreviewed cfs/gpm conversion.,False
